optimizer,obj,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,4,14.389451750374075,0.002916702095022836,0.0036417126617995297,0.006148105399226658,0.0011514189313866473,0.003493202287618375,0.0006557235189722455,0.004921858275985699,0.0029616519414377893,0.003699625957069466,0.0005430940168250005
SADE,CHI,4,14.842776931963229,0.0,1.1702778228589004e-16,0.02091411006952007,0.0,2.925694557147251e-17,0.0,0.0,0.0,5.851389114294502e-17,5.851389114294502e-17
SADE,NMIS,4,12.991239371241418,1.2806790790635691,0.13145603439088588,0.06364875689630116,0.029092257923906677,0.14328488003120063,0.020591618602399053,0.1353004415735588,0.18611974075548485,0.031483900930122655,0.028633673746521277
SADE,ARS,4,10.419730307608665,0.36001301919205325,0.06410884473560047,0.08842229523397616,0.013145516514935587,0.04508201163805063,0.002403883201082042,0.022001954862642947,0.009512430989675219,0.013418456443769282,0.0022644452349796732
SSO,MSEI,4,8.850885116328167,0.00295872739159555,0.0031209977037265873,0.007184769462009351,0.00096860495329912,0.0034563669108215694,0.000689203243688774,0.00463256780246597,0.0027048616723719283,0.0034111288454117326,0.0007037865838132696
SSO,CHI,4,8.76824440555471,0.0,1.1702778228589004e-16,0.02091411006952007,0.0,2.925694557147251e-17,0.0,0.0,0.0,5.851389114294502e-17,5.851389114294502e-17
SSO,NMIS,4,11.219078204315153,6.461899931822941,0.16057396796423068,0.06639840091782666,0.04924060320959162,0.11628007741846601,0.03716984980389946,0.20455690827031756,0.26682716284558106,0.11121026249606843,0.03998119820615685
SSO,ARS,4,8.873545663316643,0.6704965840338865,0.03283206984032533,0.08561084083092385,0.01673541291858541,0.07805194157311741,0.011656791105998656,0.03143777444766443,0.006164289722082974,0.01220271868615077,0.005126929447101393
AO,MSEI,4,9.390613761412313,0.2142353580009094,0.0326728171930939,0.029731391659321975,0.015109870945842001,0.020978440361475875,0.004310640581424323,0.020631820757697993,0.013154203552899398,0.016083930006203218,0.0030933011851777825
AO,CHI,4,6.585755045288206,0.055560064154830634,0.02976059335205981,0.02245062929085853,0.011800197926776954,0.016640492146835346,0.004136936064287189,0.019087768160089672,0.012084331682895097,0.01484213480452039,0.0027259593622144217
