Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
aggregation,GWO,SSE,7,10.16,12.03,0.92,0.07,0.92,0.82,0.86,0.86,0.74,0.0,11.8,0.29,0.74,0.98,0.95,0.05,21.67,21.67,21.67,19.61,19.61,19.61,19.61,19.61,19.61,18.34,18.34,18.34,17.54,17.54,17.54,16.83,16.83,16.83,16.83,16.83,15.33,15.33,15.33,15.02,15.02,15.02,15.02,15.02,15.02,15.02,14.32,14.32,14.32,14.32,14.27,13.96,13.96,13.35,13.35,13.3,13.3,12.57,12.57,12.57,12.54,12.54,12.35,12.2,12.15,12.03
aggregation,GWO,SSE,7,9.97,13.4,0.89,0.13,0.85,0.79,0.82,0.82,0.72,0.18,12.51,0.29,0.72,0.98,0.82,0.06,21.12,21.12,21.12,21.12,21.12,21.12,21.12,20.29,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,15.91,15.51,15.04,14.76,14.76,14.76,14.37,14.15,13.78,13.57,13.4
aggregation,GWO,SSE,7,10.17,12.81,0.88,0.14,0.84,0.76,0.8,0.79,0.66,0.05,12.52,0.3,0.66,0.97,1.04,0.05,24.0,24.0,19.67,19.67,19.67,19.67,19.67,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.07,16.95,16.31,16.31,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.61,14.61,14.29,13.72,13.72,13.6,13.17,13.08,12.95,12.9,12.81
