optimizer,obj,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,3,0.8707260456270637,1.3597399555105182e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.3597399555105182e-16,0.0,1.3597399555105182e-16
GWO,SSEI,3,0.4378850228465554,0.0,0.0,0.0,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,0.0,1.3597399555105182e-16,0.0
MVO,SSEI,3,0.5592683711182971,0.0,0.0,0.0,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,0.0,1.3597399555105182e-16,0.0
PSO,SSEI,3,0.4190350052600528,0.0,1.3597399555105182e-16,0.0,0.0,0.0,1.3597399555105182e-16,0.0,1.3597399555105182e-16,0.0,0.0
