Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,PSO,SSE,3,1.85,6.48,0.67,0.42,0.58,0.83,0.68,0.68,0.51,0.53,5.92,0.23,0.51,0.94,0.68,0.1,41.89,39.53,31.59,25.76,24.21,15.7,15.7,15.7,15.7,15.7,15.7,14.48,14.48,13.85,13.15,13.15,13.15,11.14,11.14,11.14,11.13,10.93,10.1,10.1,10.1,9.56,8.32,8.32,7.86,7.86,7.86,7.68,7.55,7.23,7.23,7.21,7.21,7.2,7.15,6.85,6.85,6.85,6.74,6.7,6.62,6.57,6.54,6.54,6.51,6.48
iris,PSO,SSE,3,1.89,2.97,0.95,0.14,0.86,0.86,0.86,0.86,0.87,0.95,2.87,0.22,0.87,0.96,0.63,0.06,20.56,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,10.34,10.26,10.26,10.26,9.01,6.02,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,4.98,4.98,4.98,4.98,4.98,4.79,4.79,4.79,4.67,4.58,3.93,3.83,3.8,3.8,3.8,3.74,3.51,3.49,3.41,3.23,3.09,3.05,3.03,3.0,2.99,2.97
iris,PSO,SSE,3,2.02,4.97,0.84,0.28,0.72,0.77,0.74,0.74,0.64,0.46,3.36,0.22,0.64,0.94,0.63,0.07,44.23,28.93,27.73,24.22,19.35,14.75,14.75,14.75,14.75,13.8,13.8,13.8,13.15,11.81,9.59,9.59,9.02,8.8,8.8,7.45,7.45,7.45,7.18,6.96,6.96,6.49,6.49,6.49,6.37,6.37,6.37,6.35,6.25,6.25,6.25,6.17,6.12,6.12,6.12,6.09,6.07,6.07,5.24,5.24,5.18,5.13,5.03,5.03,5.0,4.97
aggregation,PSO,SSE,7,10.4,13.35,0.89,0.14,0.84,0.77,0.8,0.8,0.63,0.08,12.46,0.29,0.63,0.98,0.85,0.05,29.69,25.74,23.47,23.47,23.47,23.47,23.47,22.72,22.72,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,18.83,18.46,18.46,18.46,18.46,18.12,18.12,17.63,17.63,17.63,17.63,17.63,17.63,17.63,17.63,16.93,16.16,16.16,15.99,15.75,15.7,15.66,15.23,15.23,15.15,15.15,15.15,14.14,13.47,13.47,13.47,13.43,13.35
aggregation,PSO,SSE,7,10.58,12.77,0.91,0.11,0.88,0.8,0.84,0.84,0.69,0.14,11.44,0.28,0.69,0.97,0.79,0.05,23.82,22.57,22.57,22.57,21.6,21.6,21.6,19.89,19.89,19.89,18.29,18.29,18.29,17.12,17.12,17.12,17.12,16.58,16.58,16.58,16.32,16.32,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.53,15.53,15.53,15.53,15.53,14.82,14.82,13.81,13.81,13.81,13.71,13.71,13.57,13.31,13.31,13.2,13.14,12.87,12.87,12.77
aggregation,PSO,SSE,7,10.74,13.94,0.88,0.13,0.85,0.75,0.8,0.8,0.65,0.06,11.73,0.28,0.65,0.97,0.81,0.06,21.24,21.24,21.24,21.24,21.24,21.24,20.63,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,18.77,18.69,17.44,17.44,17.44,17.44,14.98,14.98,14.98,14.98,14.98,14.98,14.83,14.79,14.79,14.69,14.34,14.34,14.34,14.3,14.19,14.16,14.11,14.08,14.08,14.08,14.06,14.0,13.98,13.95,13.95,13.94
banknote,PSO,SSE,2,26.19,503.64,0.81,0.63,0.37,0.37,0.37,0.37,0.39,0.17,424.81,0.35,0.39,0.99,1.24,0.29,1202.5,693.25,611.14,611.14,581.07,569.96,517.32,505.04,505.04,505.04,504.79,504.79,504.79,504.51,504.51,503.96,503.96,503.93,503.88,503.88,503.88,503.67,503.65,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64
banknote,PSO,SSE,2,25.89,477.94,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.2,418.65,0.35,0.34,0.99,1.23,0.27,974.83,723.81,666.62,532.02,482.99,482.99,482.99,482.99,482.99,479.15,479.15,479.15,479.15,479.15,479.15,478.72,478.72,478.72,478.72,478.72,478.62,478.36,478.36,478.36,478.16,478.05,478.05,478.05,478.05,478.0,478.0,478.0,478.0,478.0,477.99,477.99,477.96,477.95,477.95,477.94,477.94,477.94,477.94,477.94,477.94,477.94,477.94,477.94,477.94,477.94
banknote,PSO,SSE,2,25.57,503.64,0.81,0.63,0.37,0.37,0.37,0.37,0.39,0.81,424.81,0.35,0.39,0.99,1.24,0.29,778.61,692.05,664.48,545.97,533.73,531.78,531.78,528.97,518.72,509.05,504.24,504.24,503.68,503.68,503.68,503.68,503.68,503.68,503.68,503.68,503.65,503.65,503.65,503.65,503.65,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64,503.64
balance,PSO,SSE,3,8.84,147.52,0.57,0.8,0.04,0.03,0.03,0.03,0.05,0.3,144.16,0.43,0.05,0.87,1.78,0.13,170.47,163.98,163.98,160.48,160.48,160.48,160.48,160.48,160.48,160.48,158.02,158.02,158.02,158.02,158.02,158.02,158.02,158.02,158.02,158.02,156.61,156.61,156.61,153.16,153.16,153.16,153.16,153.16,153.16,153.16,153.16,152.68,151.3,150.77,150.77,150.77,150.39,149.73,149.52,149.15,148.98,148.87,148.35,148.2,147.67,147.67,147.67,147.6,147.6,147.52
