Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,GWO,SSE,3,1.86,3.09,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.31,2.83,0.21,0.89,0.82,0.63,0.05,22.04,13.02,13.02,13.02,12.23,12.23,12.23,12.23,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,7.29,7.29,7.29,7.29,7.29,6.12,6.12,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.1,4.1,3.91,3.58,3.58,3.34,3.34,3.34,3.34,3.29,3.14,3.12,3.09
iris,GWO,SSE,3,1.97,2.9,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.96,2.83,0.21,0.89,0.82,0.63,0.06,30.35,23.7,15.09,15.09,13.93,13.93,11.83,11.83,11.83,11.76,11.76,11.76,11.76,8.35,8.35,8.35,8.35,8.35,8.2,8.2,8.2,8.2,8.01,7.2,7.2,7.2,6.98,4.54,4.54,4.54,4.54,4.54,4.27,4.27,4.24,4.24,4.24,3.66,3.66,3.66,3.59,3.54,3.3,3.3,3.07,3.07,3.07,3.03,2.9,2.9
iris,GWO,SSE,3,1.84,2.95,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.37,2.83,0.21,0.89,0.82,0.63,0.06,17.29,17.29,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,7.82,7.82,7.82,7.82,7.82,7.82,7.46,7.46,7.46,7.46,7.46,7.46,6.75,6.75,6.75,6.25,4.51,4.51,4.51,4.51,4.51,3.93,3.93,3.93,3.82,3.6,3.6,3.26,3.26,3.26,3.26,3.15,3.15,3.11,3.02,2.97,2.95
aggregation,GWO,SSE,7,10.23,11.75,0.93,0.08,0.91,0.85,0.88,0.88,0.85,0.16,11.44,0.27,0.85,0.96,0.75,0.05,28.07,23.69,23.69,21.53,21.53,21.53,21.53,19.94,19.94,19.94,19.94,19.63,19.63,19.63,16.97,16.97,16.97,16.83,15.93,15.93,15.93,15.93,15.93,15.93,14.87,14.87,14.87,14.87,14.87,14.87,14.87,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.11,13.09,12.81,12.81,12.62,12.62,12.29,12.29,12.21,11.79,11.79,11.75
aggregation,GWO,SSE,7,10.1,13.77,0.86,0.17,0.8,0.76,0.78,0.78,0.72,0.24,13.35,0.29,0.72,0.98,0.75,0.05,24.44,24.44,21.1,21.1,21.1,21.1,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.62,17.62,17.62,17.62,17.4,17.4,17.4,17.07,16.51,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.69,15.69,15.68,15.39,15.29,15.11,14.72,14.63,14.63,14.63,14.18,14.14,13.92,13.82,13.77
aggregation,GWO,SSE,7,9.89,11.51,0.9,0.1,0.88,0.79,0.83,0.83,0.7,0.56,11.23,0.27,0.7,0.98,0.73,0.05,22.52,22.52,22.52,22.52,19.98,19.98,19.98,19.98,19.98,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,16.54,16.32,16.32,16.32,15.77,15.28,15.28,15.28,15.04,15.04,13.75,13.75,13.75,13.49,13.23,13.23,13.23,13.14,12.28,12.15,12.07,11.82,11.82,11.78,11.69,11.56,11.51
banknote,GWO,SSE,2,25.46,478.85,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.79,418.57,0.34,0.34,0.99,1.23,0.27,1424.22,725.96,703.11,612.73,549.1,502.66,502.66,500.26,500.26,491.71,491.71,488.61,486.63,486.63,483.56,481.48,479.83,479.83,479.83,479.83,479.83,479.83,479.83,479.83,479.83,479.77,479.77,479.54,479.5,479.5,479.37,478.98,478.98,478.98,478.98,478.9,478.9,478.9,478.9,478.9,478.9,478.9,478.89,478.89,478.89,478.89,478.87,478.87,478.85,478.85
banknote,GWO,SSE,2,27.1,479.36,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.79,418.65,0.35,0.34,0.99,1.23,0.27,1008.91,780.05,569.68,567.84,515.96,494.0,494.0,494.0,485.09,485.09,485.09,483.43,483.43,483.43,483.43,483.11,482.56,481.24,481.24,481.24,481.24,481.24,481.06,481.06,481.06,480.56,480.56,480.56,480.56,480.01,480.01,480.01,480.01,480.01,480.01,480.01,480.01,479.88,479.76,479.71,479.7,479.65,479.65,479.51,479.51,479.43,479.38,479.38,479.38,479.36
banknote,GWO,SSE,2,27.15,478.66,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.2,418.65,0.35,0.34,0.99,1.23,0.27,936.49,797.87,579.81,579.81,507.24,507.24,490.66,490.64,486.63,486.63,484.25,483.98,483.18,481.68,481.68,479.32,479.32,479.32,479.32,479.32,479.32,479.32,479.32,479.32,479.13,479.13,479.13,479.13,479.13,479.13,479.13,479.13,479.13,479.13,479.13,479.11,478.81,478.81,478.81,478.81,478.72,478.68,478.68,478.68,478.68,478.68,478.68,478.66,478.66,478.66
balance,GWO,SSE,3,9.37,139.24,0.67,0.71,0.15,0.13,0.14,0.14,0.16,0.15,139.18,0.42,0.16,0.86,1.69,0.12,171.65,171.65,171.5,171.5,159.96,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,150.08,146.55,146.55,146.55,146.55,146.55,146.55,146.51,146.51,145.19,144.42,144.42,144.42,144.42,142.92,141.74,141.74,141.74,141.74,141.74,141.74,140.72,140.72,140.72,139.93,139.93,139.93,139.79,139.79,139.48,139.41,139.24
