Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,GWO,SSE,3,1.89,2.98,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.55,2.83,0.21,0.89,0.82,0.63,0.06,23.22,18.0,13.24,13.24,12.59,12.59,11.89,11.89,11.49,11.46,11.46,11.46,11.46,9.06,9.06,9.06,9.06,9.06,7.77,7.65,7.65,7.65,7.58,6.93,6.93,6.04,5.96,5.15,4.99,4.41,4.41,4.41,4.32,4.32,4.11,4.11,4.11,3.86,3.79,3.72,3.48,3.46,3.3,3.3,3.19,3.19,3.16,3.06,3.0,2.98
aggregation,GWO,SSE,7,10.07,12.34,0.9,0.12,0.86,0.8,0.83,0.83,0.76,0.32,12.01,0.28,0.76,0.97,0.74,0.05,25.01,23.55,22.44,21.72,20.87,20.87,19.74,19.22,19.22,18.39,18.39,18.29,18.29,18.29,17.4,17.4,17.4,17.32,17.02,17.02,17.02,16.95,16.95,16.62,16.09,15.9,15.64,15.46,15.29,15.29,15.29,14.72,14.72,14.29,14.29,14.28,14.19,14.1,13.91,13.87,13.69,13.27,13.13,13.11,12.91,12.77,12.71,12.47,12.39,12.34
banknote,GWO,SSE,2,26.57,478.95,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.59,418.63,0.35,0.34,0.99,1.23,0.27,1123.21,767.96,617.53,586.79,524.1,501.3,495.77,494.97,490.66,487.81,487.02,485.34,484.41,483.91,482.89,481.3,480.57,480.13,480.13,480.13,480.13,480.13,480.07,480.07,480.01,479.82,479.82,479.74,479.73,479.54,479.5,479.37,479.37,479.37,479.37,479.34,479.24,479.2,479.15,479.14,479.11,479.08,479.07,479.03,479.03,479.0,478.98,478.97,478.96,478.95
balance,GWO,SSE,3,9.26,139.45,0.67,0.71,0.14,0.12,0.13,0.13,0.16,0.36,139.34,0.42,0.16,0.86,1.7,0.12,173.53,167.55,161.0,157.44,153.6,151.42,151.42,151.42,151.42,150.76,150.76,150.76,150.22,149.54,149.54,148.48,148.48,148.29,147.18,146.0,146.0,146.0,146.0,145.64,145.64,145.57,145.57,145.13,144.87,144.17,143.92,143.7,143.2,142.8,142.42,142.42,142.29,142.27,141.77,141.27,141.02,140.71,140.44,140.21,140.06,139.87,139.87,139.67,139.62,139.45
ecoli,GWO,SSE,7,4.7,28.54,0.73,0.33,0.54,0.65,0.59,0.58,0.59,0.03,24.42,0.37,0.59,0.91,1.14,0.11,96.23,81.36,79.96,79.96,79.96,79.96,74.98,74.98,71.13,71.13,71.13,68.72,68.72,64.76,64.76,64.76,64.76,64.76,61.05,61.05,58.31,55.57,55.19,53.83,53.36,49.68,49.68,48.67,47.15,46.72,43.24,41.04,39.67,39.18,38.86,36.86,36.61,36.25,35.59,35.31,34.14,32.5,32.26,31.92,30.93,30.61,29.73,29.05,28.71,28.54
smiley,GWO,SSE,4,6.64,12.78,0.77,0.38,0.31,0.18,0.22,0.22,0.02,0.14,12.31,0.28,0.02,0.98,0.82,0.06,21.36,21.36,18.84,18.7,18.34,18.24,17.15,17.15,16.96,16.96,16.59,16.59,16.59,16.59,16.03,16.03,15.66,15.44,15.44,15.42,15.38,15.16,15.06,15.06,14.65,14.34,14.34,13.66,13.66,13.66,13.66,13.66,13.66,13.65,13.65,13.63,13.5,13.5,13.46,13.35,13.35,13.22,13.22,13.05,13.01,12.98,12.86,12.85,12.82,12.78
