Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
ecoli,SSA,SSE,7,3.95,30.71,0.73,0.31,0.56,0.55,0.56,0.54,0.51,0.02,22.02,0.37,0.51,0.92,1.32,0.11,0.0,54.13,45.9,40.7,40.7,40.7,40.7,40.7,38.3,38.3,38.3,37.72,37.72,36.04,36.04,35.75,35.26,34.57,34.32,33.31,32.76,32.06,31.69,31.35,31.24,31.03,30.93,30.88,30.83,30.79,30.77,30.75,30.73,30.72,30.72,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71
ecoli,SSA,SSE,7,3.85,37.34,0.62,0.39,0.45,0.52,0.48,0.46,0.45,0.07,31.3,0.43,0.45,0.94,1.45,0.12,0.0,52.02,47.68,47.55,47.3,47.3,47.3,47.3,46.77,42.01,42.01,42.01,42.01,42.01,41.14,40.42,40.38,40.38,40.2,39.03,38.62,38.04,37.89,37.78,37.66,37.57,37.5,37.45,37.43,37.39,37.37,37.35,37.35,37.35,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34
ecoli,SSA,SSE,7,3.87,27.26,0.74,0.31,0.57,0.52,0.54,0.53,0.53,0.05,21.18,0.4,0.53,0.95,1.5,0.1,0.0,61.42,43.15,39.83,39.83,39.83,39.83,39.83,39.83,39.83,38.49,38.49,35.77,33.41,32.51,32.38,31.0,30.97,30.37,29.74,29.26,28.31,28.0,27.75,27.65,27.48,27.41,27.38,27.35,27.31,27.29,27.28,27.27,27.27,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26
ecoli,GWO,SSE,7,3.94,23.39,0.76,0.29,0.6,0.62,0.61,0.59,0.64,0.01,21.02,0.38,0.64,0.92,1.18,0.11,116.94,106.77,97.72,97.72,97.72,97.72,97.72,91.36,91.36,91.36,91.36,91.36,91.36,91.36,85.42,82.79,81.72,76.93,75.57,67.62,64.34,59.8,59.03,51.95,51.95,43.48,43.48,43.48,43.48,43.48,43.48,43.48,39.74,38.8,38.8,38.8,36.22,33.53,32.8,32.8,29.51,27.53,27.2,26.68,25.59,24.65,24.2,24.05,23.52,23.39
ecoli,GWO,SSE,7,3.88,25.42,0.75,0.31,0.56,0.56,0.56,0.55,0.47,0.1,23.15,0.42,0.47,0.96,1.49,0.12,92.59,92.59,92.59,92.59,80.89,75.1,71.96,71.96,67.77,67.77,67.77,65.26,65.26,65.26,64.38,64.38,64.38,63.34,55.48,55.48,55.48,55.48,51.29,51.29,51.29,51.29,47.23,47.23,46.55,45.65,41.47,41.47,37.64,35.08,32.36,32.36,32.36,32.36,31.82,29.64,29.64,28.59,28.59,27.58,27.29,26.55,26.35,25.86,25.7,25.42
ecoli,GWO,SSE,7,3.95,24.14,0.81,0.25,0.66,0.66,0.66,0.65,0.66,0.08,19.81,0.34,0.66,0.96,0.93,0.11,96.32,96.32,96.32,81.04,81.04,81.04,80.13,80.13,80.13,80.13,80.13,68.72,68.72,68.72,68.72,67.19,67.19,54.47,54.47,54.47,54.47,54.47,54.47,50.27,50.27,50.27,50.27,48.76,45.2,45.07,45.07,44.81,41.86,35.58,33.77,33.77,33.77,33.61,32.18,30.77,29.8,29.8,28.08,27.36,25.96,25.92,24.94,24.9,24.4,24.14
ecoli,MVO,SSE,7,3.94,25.25,0.79,0.3,0.59,0.65,0.62,0.6,0.66,0.0,22.42,0.34,0.66,0.95,0.87,0.11,82.26,82.26,82.26,82.26,82.26,82.26,82.26,82.26,82.26,82.26,71.19,71.19,71.19,71.19,59.95,59.95,59.95,53.97,53.97,53.97,53.97,51.57,51.06,51.06,50.74,45.91,39.11,39.11,37.68,37.68,36.85,35.4,34.74,34.68,32.91,31.76,30.54,30.36,29.94,27.95,27.68,26.6,26.51,26.01,26.01,25.92,25.65,25.59,25.39,25.25
ecoli,MVO,SSE,7,3.77,30.87,0.75,0.33,0.54,0.72,0.62,0.61,0.65,0.0,26.16,0.38,0.65,0.92,0.7,0.11,100.77,98.12,96.81,96.81,96.81,87.0,87.0,87.0,87.0,87.0,87.0,87.0,79.01,79.01,79.01,79.01,79.01,79.01,75.99,73.88,60.41,60.31,58.36,55.75,55.75,55.75,51.84,49.07,47.13,44.84,39.05,39.05,38.72,38.4,38.4,35.48,35.22,35.22,35.22,35.22,34.05,33.68,33.68,33.15,32.57,31.83,31.61,31.27,30.99,30.87
ecoli,MVO,SSE,7,3.82,40.1,0.65,0.44,0.39,0.64,0.49,0.47,0.41,0.16,33.51,0.43,0.41,0.92,1.05,0.13,100.05,83.08,83.08,83.08,83.08,83.08,83.08,83.08,83.08,83.08,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,76.43,76.43,74.53,61.05,61.05,57.92,53.97,50.89,50.87,50.6,50.6,47.19,47.19,47.19,45.81,45.81,45.69,44.42,43.18,41.76,41.29,40.85,40.82,40.5,40.22,40.1
ecoli,PSO,SSE,7,3.79,65.32,0.48,0.65,0.09,0.38,0.15,0.12,0.05,0.04,53.09,0.53,0.05,0.93,0.81,0.13,140.1,121.85,121.85,121.85,121.85,118.56,118.56,118.56,118.56,118.56,118.56,118.56,117.11,117.11,117.11,117.11,117.11,117.11,117.11,117.11,117.11,117.11,117.11,105.96,93.53,93.53,93.53,93.53,93.53,93.53,93.53,93.53,93.53,93.53,90.78,90.68,72.5,72.5,72.5,72.5,72.5,72.5,68.9,67.82,67.09,67.09,66.2,66.2,65.32,65.32
ecoli,PSO,SSE,7,3.64,74.76,0.65,0.5,0.31,0.48,0.38,0.35,0.36,0.01,37.67,0.44,0.36,0.95,1.02,0.11,108.72,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,82.82,80.82,80.82,80.82,80.82,78.35,78.35,78.35,74.76,74.76,74.76,74.76,74.76,74.76,74.76,74.76,74.76,74.76,74.76,74.76
ecoli,PSO,SSE,7,3.64,49.91,0.67,0.45,0.37,0.46,0.41,0.39,0.46,0.01,32.15,0.43,0.46,0.94,1.39,0.13,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,79.43,76.65,76.65,76.65,76.65,73.59,73.59,73.59,73.59,72.13,72.13,72.13,72.13,72.13,72.13,70.66,70.66,67.05,64.71,62.91,58.94,56.19,53.87,53.87,53.87,53.68,50.49,50.49,50.49,50.22,50.22,49.91
