Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
balance,SSA,SSE,3,7.89,139.09,0.63,0.74,0.11,0.1,0.1,0.1,0.12,0.37,138.95,0.42,0.12,0.86,1.7,0.12,0.0,161.62,159.46,155.45,154.48,154.03,154.03,154.03,150.9,147.68,147.68,146.23,143.9,143.47,141.39,141.05,140.94,140.34,140.11,139.78,139.47,139.38,139.34,139.25,139.19,139.16,139.15,139.13,139.12,139.11,139.1,139.1,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09,139.09
balance,SSA,SSE,3,7.51,139.11,0.67,0.73,0.12,0.1,0.11,0.11,0.14,0.41,138.96,0.42,0.14,0.86,1.72,0.12,0.0,158.32,149.38,149.38,148.63,145.94,145.94,145.94,144.93,143.26,142.81,142.37,142.23,140.69,140.69,140.69,140.2,139.99,139.6,139.57,139.57,139.48,139.4,139.27,139.19,139.19,139.17,139.15,139.14,139.13,139.13,139.12,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11,139.11
balance,SSA,SSE,3,7.26,139.37,0.66,0.72,0.13,0.11,0.12,0.12,0.14,0.36,139.3,0.42,0.14,0.86,1.7,0.12,0.0,154.6,152.29,146.52,143.87,143.87,143.39,143.24,141.78,141.78,141.78,141.78,141.78,141.35,141.35,140.12,140.12,140.04,139.96,139.64,139.55,139.54,139.51,139.49,139.45,139.43,139.41,139.39,139.38,139.38,139.38,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37,139.37
balance,GWO,SSE,3,7.56,139.4,0.64,0.74,0.11,0.09,0.1,0.1,0.12,0.24,139.15,0.42,0.12,0.86,1.69,0.12,166.01,166.01,159.74,159.74,159.74,159.74,154.84,154.84,154.84,150.79,150.79,150.79,150.79,147.96,147.96,147.96,147.02,147.02,147.02,147.02,147.02,147.02,147.02,147.02,147.02,147.02,144.75,144.26,144.26,144.26,142.76,142.76,142.76,142.76,142.76,142.76,142.76,142.76,141.7,141.7,141.7,141.7,141.7,140.84,140.05,139.84,139.81,139.4,139.4,139.4
balance,GWO,SSE,3,7.53,139.42,0.65,0.74,0.11,0.09,0.1,0.09,0.11,0.17,139.23,0.42,0.11,0.86,1.7,0.12,169.84,169.84,169.84,164.38,163.4,161.84,161.54,161.54,154.03,154.03,154.03,154.03,150.94,150.94,149.09,149.09,149.09,147.83,147.83,147.83,147.48,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,143.74,143.74,143.07,143.07,142.94,142.94,142.92,141.71,141.71,141.71,141.0,140.15,140.15,140.1,140.1,139.83,139.83,139.81,139.42
balance,GWO,SSE,3,7.56,139.11,0.65,0.74,0.11,0.09,0.1,0.09,0.12,0.33,138.89,0.42,0.12,0.86,1.69,0.12,163.17,163.17,163.17,163.17,153.94,153.94,153.94,153.89,153.89,149.48,149.48,149.48,149.48,147.66,147.66,147.66,147.66,147.66,147.66,147.66,145.33,144.76,144.76,144.76,144.76,144.76,144.76,144.76,144.76,144.76,143.82,143.53,143.31,142.39,142.09,141.19,141.19,141.19,141.19,141.09,140.81,140.68,139.8,139.8,139.8,139.8,139.8,139.35,139.11,139.11
balance,MVO,SSE,3,7.46,138.97,0.65,0.74,0.11,0.09,0.1,0.09,0.12,0.39,138.89,0.42,0.12,0.86,1.69,0.12,171.73,171.73,171.73,171.73,171.73,171.73,168.52,168.52,168.52,168.52,154.47,143.79,143.79,143.79,143.79,143.79,143.79,143.79,142.62,142.62,142.62,142.62,142.62,142.62,142.62,142.62,142.62,141.62,141.62,141.62,141.62,141.62,141.49,141.49,140.76,140.76,140.64,140.64,139.73,139.45,139.45,139.43,139.43,139.18,139.18,139.08,139.08,139.06,138.99,138.97
balance,MVO,SSE,3,7.51,139.59,0.67,0.72,0.13,0.11,0.12,0.12,0.14,0.18,139.39,0.42,0.14,0.86,1.7,0.12,166.52,165.42,160.89,157.92,157.92,152.66,152.66,152.66,152.66,151.99,151.99,145.9,145.9,145.9,145.9,145.9,145.9,144.65,144.65,144.65,143.86,143.86,143.86,143.86,143.86,143.63,143.63,143.63,143.12,143.12,143.12,143.12,141.99,141.99,141.99,141.99,141.29,141.27,141.1,141.1,140.9,140.79,140.48,140.2,139.98,139.88,139.76,139.7,139.61,139.59
balance,MVO,SSE,3,7.4,138.96,0.64,0.73,0.12,0.1,0.11,0.11,0.13,0.45,138.95,0.42,0.13,0.86,1.7,0.12,173.33,173.33,157.06,157.06,157.06,157.06,157.06,150.99,150.99,150.99,150.99,150.99,146.83,146.83,146.83,146.83,144.77,144.77,144.77,144.77,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.82,141.57,141.54,141.54,141.54,141.54,140.83,140.83,140.6,140.39,140.39,140.31,139.91,139.91,139.68,139.63,139.35,139.17,139.04,138.97,138.97,138.96
balance,PSO,SSE,3,7.63,139.53,0.62,0.76,0.08,0.07,0.08,0.07,0.09,0.37,139.42,0.42,0.09,0.86,1.69,0.12,159.87,159.87,159.87,159.87,159.13,155.54,155.54,155.54,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,144.03,143.71,143.71,143.58,143.05,142.01,140.91,140.91,140.91,140.44,140.3,140.3,140.3,140.2,140.11,139.99,139.94,139.92,139.74,139.64,139.63,139.62,139.57,139.54,139.53
balance,PSO,SSE,3,8.0,139.81,0.68,0.7,0.16,0.13,0.14,0.14,0.16,0.43,139.63,0.42,0.16,0.86,1.69,0.12,168.52,166.67,166.67,159.01,159.01,159.01,159.01,159.01,159.01,159.01,159.01,159.01,159.01,159.01,158.21,158.2,157.63,152.87,152.87,152.87,152.87,152.87,149.59,146.31,146.31,146.31,145.85,145.85,145.85,145.85,145.85,145.28,145.28,145.28,145.28,145.28,144.11,144.11,144.11,144.11,143.87,143.61,143.61,143.14,142.36,141.13,140.72,140.47,140.2,139.81
balance,PSO,SSE,3,7.91,140.82,0.65,0.74,0.11,0.09,0.1,0.09,0.12,0.17,139.82,0.42,0.12,0.86,1.71,0.12,173.04,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,159.5,159.5,157.32,157.32,157.32,157.32,157.32,157.32,157.32,152.17,152.17,152.17,151.89,150.26,150.26,146.47,146.47,146.47,146.47,146.47,146.47,146.47,146.47,146.47,146.01,146.01,145.33,145.33,145.23,145.22,142.43,142.43,142.43,141.47,141.47,141.47,141.05,140.9,140.9,140.82
