optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,1,3,405137.0235,7.05251,0.57222,0.25102,0.64499,0.58792,0.88145,0.80462,0.81212,0.80835,0.88149
SADE,MSEI,2,3,405139.70941,7.05356,0.5724,0.25069,0.64521,0.58877,0.8858,0.80991,0.81678,0.81333,0.88584
SADE,MSEI,3,3,405142.47408,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SADE,MSEI,4,3,405145.10091,7.05212,0.57125,0.247,0.64516,0.58875,0.88471,0.80857,0.8156,0.81207,0.88475
SADE,MSEI,5,3,405147.74154,7.05174,0.57186,0.24254,0.64505,0.58827,0.88253,0.80593,0.81327,0.80958,0.88257
SADE,MSEI,6,3,405150.40875,7.05266,0.57096,0.2465,0.64518,0.58923,0.88694,0.81164,0.8184,0.81501,0.88698
SADE,MSEI,7,3,405154.28636,7.05778,0.57324,0.24205,0.64505,0.58873,0.88929,0.81562,0.82219,0.81889,0.88932
SADE,MSEI,8,3,405158.33686,7.05436,0.5728,0.25247,0.64516,0.58861,0.88585,0.81031,0.81722,0.81375,0.88588
SADE,MSEI,9,3,405162.34592,7.05355,0.57252,0.24366,0.64491,0.58727,0.8793,0.80203,0.80984,0.80592,0.87935
SADE,MSEI,10,3,405166.35944,7.05648,0.57081,0.24283,0.64516,0.58895,0.88571,0.80919,0.81601,0.81259,0.88575
SADE,CHI,1,3,405170.3614,7.05174,0.57186,0.2497,0.64505,0.58827,0.88253,0.80593,0.81327,0.80958,0.88257
SADE,CHI,2,3,405174.47084,7.05247,0.57166,0.24639,0.64516,0.58904,0.8858,0.80991,0.81678,0.81333,0.88584
SADE,CHI,3,3,405178.51571,7.05436,0.5728,0.24148,0.64516,0.58861,0.88585,0.81031,0.81722,0.81375,0.88588
SADE,CHI,4,3,405182.55944,7.05765,0.57253,0.25247,0.64503,0.588,0.88244,0.80516,0.81243,0.80878,0.88248
SADE,CHI,5,3,405186.59649,7.05174,0.57186,0.2497,0.64505,0.58827,0.88253,0.80593,0.81327,0.80958,0.88257
SADE,CHI,6,3,405190.63187,7.05266,0.57089,0.24238,0.64523,0.58931,0.8869,0.81125,0.81798,0.8146,0.88693
SADE,CHI,7,3,405194.65153,7.05436,0.5728,0.25247,0.64516,0.58861,0.88585,0.81031,0.81722,0.81375,0.88588
SADE,CHI,8,3,405198.39166,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SADE,CHI,9,3,405200.93779,7.05168,0.5719,0.24276,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SADE,CHI,10,3,405203.48164,7.05198,0.57187,0.24222,0.64508,0.58873,0.88476,0.80898,0.81604,0.81249,0.88479
SADE,RTS,1,3,405206.03064,7.91952,0.58269,0.35332,0.62154,0.57402,0.9711,0.93054,0.93064,0.93059,0.9711
SADE,RTS,2,3,405384.93809,7.86486,0.58206,0.33674,0.62355,0.57535,0.96982,0.92824,0.92839,0.92831,0.96982
SADE,RTS,3,3,405672.59699,7.87327,0.58161,0.13249,0.62318,0.57543,0.9711,0.93071,0.93084,0.93077,0.9711
SADE,RTS,4,3,405849.60202,7.86486,0.58206,0.12711,0.62355,0.57535,0.96982,0.92824,0.92839,0.92831,0.96982
SADE,RTS,5,3,406026.89222,7.99572,0.58419,0.35653,0.61917,0.57184,0.96977,0.92514,0.92519,0.92516,0.96977
SADE,RTS,6,3,406203.38508,7.77284,0.57921,0.33627,0.62645,0.57825,0.96982,0.9293,0.92954,0.92942,0.96982
SADE,RTS,7,3,406380.99762,7.99715,0.58472,0.14859,0.6193,0.57149,0.96981,0.92802,0.9281,0.92806,0.96981
SADE,RTS,8,3,406557.35492,7.8063,0.57998,0.35165,0.62541,0.57746,0.96982,0.92867,0.92886,0.92876,0.96982
SADE,RTS,9,3,406734.65872,7.85232,0.58133,0.13249,0.62364,0.57605,0.96982,0.92824,0.92839,0.92831,0.96982
SADE,RTS,10,3,406910.89734,7.91952,0.58269,0.13249,0.62154,0.57402,0.9711,0.93054,0.93064,0.93059,0.9711
SADE,ARS,1,3,407087.62454,7.86486,0.58206,0.12711,0.62355,0.57535,0.96982,0.92824,0.92839,0.92831,0.96982
SADE,ARS,2,3,407090.07805,7.77284,0.57921,0.13249,0.62645,0.57825,0.96982,0.9293,0.92954,0.92942,0.96982
SADE,ARS,3,3,407092.52667,7.86486,0.58206,0.33674,0.62355,0.57535,0.96982,0.92824,0.92839,0.92831,0.96982
SADE,ARS,4,3,407094.97944,7.709,0.57861,0.13249,0.62849,0.57972,0.96982,0.93143,0.93181,0.93162,0.96982
SADE,ARS,5,3,407097.43425,7.86486,0.58206,0.33674,0.62355,0.57535,0.96982,0.92824,0.92839,0.92831,0.96982
SADE,ARS,6,3,407099.88304,7.87327,0.58161,0.13249,0.62318,0.57543,0.9711,0.93071,0.93084,0.93077,0.9711
SADE,ARS,7,3,407102.35448,7.9677,0.58384,0.13249,0.61985,0.57253,0.96853,0.9254,0.92548,0.92544,0.96853
SADE,ARS,8,3,407104.80154,7.69312,0.5783,0.3156,0.62908,0.58009,0.96854,0.92923,0.92964,0.92943,0.96854
SADE,ARS,9,3,407107.24471,7.77284,0.57921,0.13249,0.62645,0.57825,0.96982,0.9293,0.92954,0.92942,0.96982
SADE,ARS,10,3,407109.69295,7.709,0.57861,0.13249,0.62849,0.57972,0.96982,0.93143,0.93181,0.93162,0.96982
SSO,MSEI,1,3,407112.13735,7.05174,0.57186,0.2497,0.64505,0.58827,0.88253,0.80593,0.81327,0.80958,0.88257
SSO,MSEI,2,3,407114.38047,7.05168,0.5719,0.24276,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,MSEI,3,3,407116.62677,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,MSEI,4,3,407118.86926,7.05168,0.5719,0.24276,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,MSEI,5,3,407121.1448,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,MSEI,6,3,407123.38824,7.05242,0.57226,0.25102,0.645,0.58812,0.88259,0.80636,0.81373,0.81003,0.88263
SSO,MSEI,7,3,407125.63812,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,MSEI,8,3,407127.88697,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,MSEI,9,3,407130.13415,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,MSEI,10,3,407132.38378,7.05168,0.5719,0.24276,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,CHI,1,3,407134.62121,7.06257,0.57111,0.262,0.64475,0.58799,0.8814,0.80422,0.81167,0.80793,0.88144
SSO,CHI,2,3,407136.82506,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,CHI,3,3,407139.03382,7.05242,0.57226,0.25102,0.645,0.58812,0.88259,0.80636,0.81373,0.81003,0.88263
SSO,CHI,4,3,407141.2684,7.05174,0.57186,0.2497,0.64505,0.58827,0.88253,0.80593,0.81327,0.80958,0.88257
SSO,CHI,5,3,407143.46709,7.05242,0.57226,0.25102,0.645,0.58812,0.88259,0.80636,0.81373,0.81003,0.88263
SSO,CHI,6,3,407145.66967,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,CHI,7,3,407147.87521,7.05168,0.5719,0.24276,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,CHI,8,3,407150.07825,7.05168,0.5719,0.24276,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,CHI,9,3,407152.28049,7.05168,0.5719,0.2497,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,CHI,10,3,407154.48373,7.05168,0.5719,0.24276,0.64505,0.58848,0.88367,0.80767,0.81488,0.81126,0.88371
SSO,RTS,1,3,407156.71845,7.69417,0.57917,0.33244,0.62759,0.58092,0.96596,0.92223,0.92258,0.9224,0.96596
SSO,RTS,2,3,407332.02457,7.87327,0.58161,0.13249,0.62318,0.57543,0.9711,0.93071,0.93084,0.93077,0.9711
SSO,RTS,3,3,407508.52644,7.78543,0.58263,0.12236,0.62458,0.57658,0.96467,0.91936,0.91967,0.91951,0.96467
SSO,RTS,4,3,407684.14477,7.8063,0.57998,0.19718,0.62541,0.57746,0.96982,0.92867,0.92886,0.92876,0.96982
SSO,RTS,5,3,407860.16109,7.67109,0.57879,0.13314,0.62927,0.5812,0.96853,0.92902,0.92943,0.92922,0.96853
SSO,RTS,6,3,408036.19425,7.88659,0.58348,0.10436,0.6216,0.57486,0.96851,0.92395,0.92408,0.92401,0.96851
