Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,SSA,SSE,3,1.83,4.97,0.78,0.32,0.68,0.88,0.76,0.76,0.67,0.28,4.62,0.26,0.67,0.88,0.55,0.09,0.0,25.9,21.94,19.35,17.7,15.41,13.05,10.84,9.29,9.06,8.57,8.03,7.47,6.95,6.16,5.8,5.6,5.49,5.29,5.23,5.14,5.1,5.06,5.03,5.01,5.0,4.99,4.99,4.98,4.98,4.98,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97
iris,GWO,SSE,3,1.95,3.08,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.43,2.83,0.21,0.89,0.82,0.63,0.06,24.85,18.72,14.95,13.76,13.76,13.64,13.17,12.03,12.03,12.01,10.52,10.52,10.52,9.57,9.38,9.35,9.13,9.13,7.43,7.4,7.4,7.09,6.42,6.42,6.42,5.51,5.51,5.51,5.47,4.92,4.62,4.62,4.62,4.62,4.43,4.43,4.38,4.38,4.1,3.81,3.68,3.68,3.61,3.53,3.39,3.32,3.26,3.18,3.11,3.08
iris,MVO,SSE,3,1.95,3.98,0.86,0.23,0.77,0.89,0.81,0.81,0.78,0.32,3.92,0.23,0.78,0.86,0.6,0.07,31.5,24.54,19.4,18.15,17.07,14.12,13.5,13.2,11.96,11.71,9.8,9.77,9.56,8.5,8.32,7.97,7.76,7.71,7.71,6.77,6.29,6.29,6.29,6.11,5.77,5.45,5.33,5.2,5.05,4.91,4.77,4.77,4.61,4.59,4.57,4.57,4.48,4.46,4.38,4.31,4.2,4.18,4.16,4.11,4.08,4.06,4.03,4.0,3.98,3.98
iris,PSO,SSE,3,1.82,4.54,0.86,0.24,0.76,0.89,0.81,0.81,0.77,0.62,3.92,0.22,0.77,0.87,0.55,0.07,18.65,18.65,14.67,13.4,13.4,13.4,12.99,12.67,11.03,11.03,11.03,10.96,10.68,10.36,10.15,8.75,8.75,8.75,7.96,7.96,7.92,7.92,7.58,7.58,7.58,7.28,7.12,7.02,6.73,6.6,6.08,6.03,5.88,5.83,5.69,5.68,5.54,5.51,5.44,5.37,5.31,5.14,5.02,4.97,4.94,4.89,4.75,4.57,4.56,4.54
