optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,1,3,405137.02242,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,MSEI,2,3,405141.03163,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,MSEI,3,3,405145.02135,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,MSEI,4,3,405147.67152,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,MSEI,5,3,405150.27019,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,MSEI,6,3,405153.08671,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,MSEI,7,3,405155.6882,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,MSEI,8,3,405158.28762,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,MSEI,9,3,405160.83754,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,MSEI,10,3,405164.62323,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,1,3,405168.51057,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,2,3,405172.50811,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,3,3,405176.47455,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,4,3,405180.44519,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,5,3,405184.38509,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,6,3,405188.30622,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,7,3,405192.21333,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,8,3,405196.1508,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,9,3,405199.30846,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,CHI,10,3,405201.85089,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,1,3,405204.40514,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,2,3,405380.15027,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,3,3,405555.19174,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,4,3,405729.4147,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,5,3,405903.21154,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,6,3,406077.23601,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,7,3,406251.16026,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,8,3,406425.14401,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,9,3,406598.27493,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,RTS,10,3,406771.94997,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,1,3,406945.40678,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,2,3,406947.78661,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,3,3,406950.16747,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,4,3,406952.54432,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,5,3,406954.92715,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,6,3,406957.29939,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,7,3,406959.6828,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,8,3,406962.07538,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,9,3,406964.45019,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SADE,ARS,10,3,406966.83397,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,1,3,406969.21681,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,2,3,406971.40028,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,3,3,406973.64265,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,4,3,406975.86411,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,5,3,406978.09862,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,6,3,406980.28809,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,7,3,406982.54277,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,8,3,406984.76541,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,9,3,406986.98662,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,10,3,406989.20503,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,1,3,406991.44527,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,2,3,406993.60355,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,3,3,406995.7456,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,4,3,406997.97829,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,5,3,407000.16165,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,6,3,407002.34565,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,7,3,407004.52434,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,8,3,407006.72076,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,9,3,407008.93816,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,CHI,10,3,407011.13422,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,RTS,1,3,407013.33497,2.19278,0.28038,0.62705,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,RTS,2,3,407186.70152,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
SSO,RTS,3,3,407359.58399,2.19278,0.28038,0.60841,0.8044,0.93526,1.0,1.0,1.0,1.0,1.0
