optimizer,obj,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,7,324345.421358,12.275191,1.205212,0.414311,0.40522600000000003,-1.014871,0.682825,0.7864880000000001,0.8078649999999999,0.79677,0.6871240000000001
SADE,CHI,7,324381.77060300007,36.652888,1.221847,0.6003959999999999,0.407167,-0.6969609999999999,0.814087,0.6502100000000002,0.9438590000000001,0.7668780000000001,0.8246170000000002
