Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
balance,MVO,SSE,3,8.26,139.43,0.7,0.66,0.2,0.17,0.18,0.18,0.22,0.13,139.35,0.42,0.22,0.86,1.71,0.12,156.7,156.7,156.7,156.7,156.7,156.7,152.96,152.96,152.96,152.96,149.17,149.17,149.17,147.99,146.73,146.53,143.49,143.49,143.49,143.49,143.49,143.49,143.49,142.91,142.91,142.91,142.91,142.91,142.91,142.44,141.9,141.9,141.83,141.48,141.02,140.56,140.56,140.56,140.08,140.08,140.04,139.88,139.71,139.69,139.67,139.6,139.54,139.49,139.45,139.43
balance,MVO,SSE,3,8.17,139.18,0.62,0.75,0.1,0.09,0.09,0.09,0.11,0.17,139.02,0.42,0.11,0.86,1.69,0.12,161.59,161.59,161.59,161.59,161.59,148.41,148.41,148.41,148.41,148.41,148.41,148.41,144.01,143.95,143.95,143.95,142.17,142.17,142.17,142.17,142.17,142.17,142.17,142.17,141.75,141.75,141.75,141.75,141.17,141.17,141.17,141.17,141.17,140.91,140.49,140.49,140.33,140.3,140.3,139.94,139.81,139.71,139.6,139.6,139.49,139.42,139.38,139.24,139.21,139.18
balance,MVO,SSE,3,8.28,139.38,0.64,0.73,0.12,0.1,0.11,0.11,0.13,0.36,139.27,0.42,0.13,0.86,1.7,0.12,161.97,161.97,159.09,151.36,145.58,145.58,145.58,145.58,145.58,145.58,145.58,145.58,145.58,145.58,145.58,145.58,145.58,145.58,145.58,144.93,144.93,143.66,143.66,143.66,143.66,143.66,143.28,142.19,142.19,142.19,142.19,141.37,141.37,140.72,140.72,140.45,140.05,140.05,140.05,140.05,139.94,139.88,139.71,139.66,139.66,139.65,139.63,139.46,139.41,139.38
