optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,3,680.3867,0.85552491,0.78566527,0.89225951,0.75833845,0.77873233,0.79272258,0.78566518,0.82351401,0.85578231,0.83933814
SSA,SSEI,2,3,681.23588,0.85552491,0.78566527,0.89225951,0.75833845,0.77873233,0.79272258,0.78566518,0.82351401,0.85578231,0.83933814
SSA,SSEI,3,3,682.12167,0.85552491,0.78566527,0.89225951,0.75833845,0.77873233,0.79272258,0.78566518,0.82351401,0.85578231,0.83933814
GWO,SSEI,1,3,682.96934,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
GWO,SSEI,2,3,683.43727,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
GWO,SSEI,3,3,683.87192,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
MVO,SSEI,1,3,684.30952,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
MVO,SSEI,2,3,684.85094,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
MVO,SSEI,3,3,685.39741,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
PSO,SSEI,1,3,685.94668,0.87447519,0.80569351,0.89225951,0.75919871,0.79598162,0.81564569,0.80569369,0.81916817,0.86285714,0.84044527
PSO,SSEI,2,3,686.36787,0.87447519,0.80569351,0.89225951,0.75919871,0.79598162,0.81564569,0.80569369,0.81916817,0.86285714,0.84044527
PSO,SSEI,3,3,686.78702,0.87447519,0.80569351,0.89225951,0.75919871,0.79598162,0.81564569,0.80569369,0.81916817,0.86285714,0.84044527
