Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
balance,GWO,SSE,3,8.32,139.57,0.63,0.74,0.11,0.09,0.1,0.09,0.12,0.18,139.38,0.42,0.12,0.86,1.71,0.12,182.9,161.93,161.93,153.12,153.12,153.12,153.12,153.12,150.07,150.07,150.07,150.07,150.07,150.07,150.07,148.51,148.51,148.51,148.51,148.51,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,143.79,143.79,143.57,142.55,141.93,141.93,141.74,141.74,140.38,140.09,140.09,140.09,139.87,139.76,139.76,139.57
balance,GWO,SSE,3,7.99,141.81,0.67,0.71,0.15,0.12,0.13,0.13,0.17,0.38,140.13,0.42,0.17,0.86,1.72,0.13,187.0,166.68,153.21,151.57,151.57,151.57,151.57,151.57,151.57,151.57,151.57,151.57,151.57,145.72,145.72,145.72,145.72,145.72,145.72,145.72,145.72,145.72,145.72,145.72,145.72,145.72,145.72,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81,141.81
balance,GWO,SSE,3,8.0,139.3,0.64,0.73,0.12,0.1,0.11,0.11,0.13,0.37,139.05,0.42,0.13,0.86,1.69,0.12,169.26,169.26,169.26,169.26,158.36,158.36,152.19,152.19,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,149.88,149.67,149.67,148.18,148.18,148.18,144.0,144.0,144.0,144.0,144.0,144.0,143.69,143.02,142.38,141.69,141.69,141.69,141.69,140.52,140.52,140.52,140.52,140.52,139.92,139.92,139.92,139.82,139.77,139.4,139.4,139.3
