Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,SSA,SSE,3,1.71,3.44,0.94,0.15,0.85,0.86,0.85,0.85,0.83,0.94,2.91,0.22,0.83,0.88,0.64,0.06,0.0,19.9,19.15,14.34,13.87,13.39,10.76,10.11,9.76,9.73,9.48,7.09,6.64,6.64,5.87,5.57,5.28,4.84,4.34,4.13,4.1,3.85,3.75,3.64,3.54,3.53,3.5,3.49,3.47,3.46,3.46,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44
iris,SSA,SSE,3,1.68,4.69,0.8,0.32,0.68,0.77,0.72,0.72,0.6,0.15,4.04,0.27,0.6,0.96,0.63,0.08,0.0,10.76,9.47,9.47,9.47,8.77,8.77,7.46,7.46,7.21,7.21,6.64,6.5,6.5,6.09,6.07,5.62,5.44,5.37,5.17,4.97,4.89,4.86,4.82,4.76,4.74,4.72,4.71,4.7,4.7,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69
iris,SSA,SSE,3,1.68,5.31,0.75,0.37,0.63,0.79,0.7,0.7,0.57,0.18,4.59,0.28,0.57,0.92,0.6,0.09,0.0,19.94,15.52,11.69,11.38,9.82,9.82,8.9,7.45,7.45,7.35,6.96,6.96,6.74,6.2,6.18,5.79,5.7,5.64,5.58,5.47,5.46,5.45,5.41,5.38,5.37,5.35,5.33,5.33,5.32,5.32,5.32,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31
aggregation,SSA,SSE,7,9.28,13.32,0.86,0.17,0.8,0.72,0.76,0.76,0.63,0.17,13.13,0.3,0.63,0.97,0.91,0.05,0.0,22.2,22.2,22.2,22.2,22.2,21.86,18.72,18.37,18.37,16.21,14.69,14.68,14.64,14.64,14.64,14.13,13.97,13.79,13.63,13.58,13.52,13.48,13.41,13.39,13.38,13.35,13.35,13.34,13.34,13.33,13.33,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32
aggregation,SSA,SSE,7,9.89,12.6,0.89,0.13,0.86,0.78,0.82,0.82,0.68,0.05,11.99,0.28,0.68,0.98,0.83,0.05,0.0,20.39,20.39,19.21,19.21,19.21,19.21,19.21,17.56,16.05,16.05,15.8,15.66,15.66,15.66,14.91,14.66,14.14,13.46,13.25,13.07,12.94,12.88,12.79,12.75,12.7,12.69,12.66,12.63,12.62,12.62,12.61,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
aggregation,SSA,SSE,7,10.41,13.07,0.89,0.11,0.88,0.81,0.84,0.84,0.78,0.0,12.31,0.28,0.78,0.98,0.85,0.05,0.0,20.52,19.41,19.41,18.81,18.81,17.71,17.71,17.67,16.44,16.16,16.16,16.1,16.1,15.41,15.41,14.48,14.3,14.22,14.0,13.74,13.49,13.41,13.29,13.25,13.18,13.15,13.12,13.1,13.09,13.08,13.08,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07
banknote,SSA,SSE,2,24.7,482.93,0.79,0.7,0.3,0.3,0.3,0.3,0.35,0.79,416.94,0.34,0.35,0.99,1.23,0.27,0.0,890.05,656.61,618.72,596.67,526.86,526.86,510.95,507.92,507.12,504.35,502.26,492.79,492.45,492.45,492.45,491.42,491.2,490.17,489.11,485.19,484.78,484.41,483.36,483.36,483.36,483.36,483.27,483.27,483.22,483.14,483.1,483.04,483.01,482.96,482.94,482.94,482.94,482.94,482.93,482.93,482.93,482.93,482.93,482.93,482.93,482.93,482.93,482.93,482.93
banknote,SSA,SSE,2,26.86,547.53,0.63,0.95,0.04,0.05,0.05,0.05,0.06,0.34,427.27,0.33,0.06,0.99,1.05,0.25,0.0,672.61,672.61,672.1,672.1,658.48,638.19,633.73,614.86,611.6,608.64,595.21,593.61,575.35,575.35,562.46,557.19,554.06,553.68,551.93,551.61,550.19,549.08,548.74,548.73,548.27,548.0,547.87,547.87,547.71,547.69,547.67,547.62,547.6,547.57,547.56,547.55,547.54,547.54,547.54,547.53,547.53,547.53,547.53,547.53,547.53,547.53,547.53,547.53,547.53
banknote,SSA,SSE,2,26.8,564.4,0.65,0.93,0.06,0.09,0.07,0.07,0.08,0.59,432.27,0.32,0.08,0.97,0.94,0.25,0.0,890.49,890.49,793.99,777.33,777.33,725.37,679.33,672.15,661.75,656.13,638.99,618.7,610.71,602.61,597.3,592.56,573.58,571.51,571.51,570.14,568.82,567.37,566.25,566.25,565.48,565.12,564.99,564.85,564.81,564.66,564.53,564.49,564.46,564.44,564.42,564.42,564.41,564.41,564.4,564.4,564.4,564.4,564.4,564.4,564.4,564.4,564.4,564.4,564.4
balance,SSA,SSE,3,7.84,141.62,0.63,0.76,0.08,0.07,0.07,0.07,0.09,0.3,141.46,0.42,0.09,0.86,1.73,0.13,0.0,151.88,149.02,149.02,149.02,148.54,148.54,144.73,144.73,144.73,144.02,144.02,144.02,143.25,143.12,142.79,142.43,142.43,142.43,142.39,142.19,142.14,141.95,141.8,141.74,141.71,141.69,141.67,141.66,141.65,141.64,141.64,141.63,141.63,141.63,141.63,141.63,141.63,141.63,141.62,141.62,141.62,141.62,141.62,141.62,141.62,141.62,141.62,141.62,141.62
balance,SSA,SSE,3,8.12,139.41,0.69,0.69,0.17,0.14,0.15,0.15,0.17,0.48,139.39,0.42,0.17,0.86,1.7,0.12,0.0,158.62,158.62,158.62,149.77,144.43,144.43,144.43,144.43,143.66,143.64,142.86,142.86,141.43,141.23,140.18,140.18,140.18,139.9,139.79,139.65,139.54,139.51,139.47,139.46,139.43,139.42,139.42,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41
balance,SSA,SSE,3,7.94,139.41,0.63,0.75,0.1,0.08,0.09,0.08,0.1,0.39,139.37,0.42,0.1,0.86,1.71,0.12,0.0,155.67,151.67,151.67,151.67,148.58,148.58,148.58,148.58,146.3,145.83,142.73,142.22,142.22,140.85,140.08,139.91,139.91,139.65,139.59,139.59,139.51,139.5,139.47,139.45,139.44,139.42,139.42,139.42,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41,139.41
ecoli,SSA,SSE,7,4.16,32.7,0.78,0.29,0.59,0.61,0.6,0.59,0.6,0.01,23.65,0.43,0.6,0.95,1.36,0.12,0.0,52.41,46.4,43.11,43.11,43.11,42.61,42.61,42.61,42.02,41.15,41.15,40.93,40.68,40.47,38.67,38.67,37.61,36.39,34.93,34.68,34.2,33.81,33.51,33.29,33.08,32.94,32.86,32.82,32.77,32.74,32.73,32.72,32.71,32.71,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7
ecoli,SSA,SSE,7,4.15,29.5,0.71,0.34,0.53,0.43,0.47,0.45,0.36,0.05,20.73,0.42,0.36,0.96,1.74,0.1,0.0,55.16,47.28,46.25,43.4,43.4,43.4,43.4,40.42,40.42,40.42,40.42,38.81,37.92,35.86,34.66,33.15,32.39,31.92,31.53,31.15,30.68,30.29,29.9,29.86,29.71,29.63,29.6,29.58,29.56,29.53,29.52,29.52,29.51,29.51,29.51,29.51,29.51,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5
ecoli,SSA,SSE,7,4.43,30.41,0.76,0.32,0.56,0.65,0.6,0.59,0.66,0.01,24.05,0.37,0.66,0.94,1.17,0.12,0.0,46.98,46.98,46.98,44.43,43.7,43.41,42.25,41.11,41.11,39.25,39.25,39.25,36.27,36.27,35.7,34.52,33.89,33.11,32.38,32.11,31.76,31.37,30.92,30.86,30.71,30.64,30.56,30.5,30.47,30.46,30.45,30.43,30.42,30.42,30.42,30.42,30.42,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41
smiley,SSA,SSE,4,6.21,11.78,0.77,0.36,0.34,0.19,0.25,0.24,0.02,0.08,11.75,0.27,0.02,0.99,0.76,0.06,0.0,16.93,16.91,14.41,14.41,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.27,12.27,12.27,12.2,12.01,12.0,11.92,11.91,11.9,11.89,11.85,11.83,11.81,11.81,11.8,11.79,11.79,11.79,11.79,11.79,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78
smiley,SSA,SSE,4,6.22,12.53,0.77,0.35,0.37,0.21,0.27,0.26,0.02,0.07,12.51,0.27,0.02,0.98,0.68,0.06,0.0,18.7,18.7,16.71,16.68,16.63,16.63,16.63,16.63,16.63,14.63,14.43,13.19,13.03,12.96,12.93,12.9,12.82,12.72,12.63,12.6,12.59,12.57,12.57,12.55,12.55,12.54,12.54,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53
smiley,SSA,SSE,4,6.31,12.42,0.77,0.37,0.32,0.18,0.23,0.23,0.02,0.1,12.42,0.28,0.02,0.96,0.79,0.06,0.0,17.25,17.25,17.25,16.32,16.32,16.32,16.13,15.89,14.18,13.79,13.34,12.93,12.9,12.9,12.64,12.64,12.61,12.61,12.54,12.46,12.46,12.45,12.44,12.43,12.43,12.43,12.43,12.43,12.43,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42
iris,GWO,SSE,3,1.9,5.34,0.73,0.38,0.62,0.8,0.7,0.7,0.56,0.24,4.73,0.28,0.56,0.92,0.58,0.09,22.98,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,10.98,10.98,10.98,10.98,10.68,10.68,10.02,10.02,10.02,10.02,10.02,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.13,6.13,6.13,5.95,5.95,5.95,5.95,5.95,5.84,5.55,5.55,5.46,5.35,5.34
iris,GWO,SSE,3,2.0,4.41,0.85,0.27,0.73,0.78,0.75,0.75,0.66,0.45,3.55,0.25,0.66,0.92,0.63,0.06,33.3,18.57,18.57,16.83,16.83,16.83,16.83,13.26,13.26,13.26,13.26,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.25,9.02,9.02,8.53,8.53,8.53,7.8,7.61,7.61,7.61,7.48,7.48,7.48,7.48,7.48,6.8,6.56,6.51,6.36,5.89,5.55,5.05,5.01,4.59,4.59,4.5,4.41
iris,GWO,SSE,3,1.99,3.32,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.03,2.83,0.21,0.89,0.82,0.63,0.06,23.29,23.29,22.59,19.97,15.08,15.08,14.6,14.6,14.6,14.48,11.4,11.4,11.4,10.26,10.26,9.35,7.66,7.66,6.76,6.76,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.66,5.66,5.66,5.66,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.43,3.43,3.43,3.38,3.38,3.32
aggregation,GWO,SSE,7,10.09,12.34,0.85,0.14,0.84,0.74,0.78,0.78,0.63,0.12,11.84,0.28,0.63,0.97,0.89,0.05,25.84,24.12,24.12,24.12,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,17.41,17.41,17.29,17.29,15.28,15.28,15.28,15.28,15.28,15.28,15.1,15.1,14.52,14.52,14.52,13.68,13.65,13.65,13.65,13.48,13.26,13.23,13.0,12.79,12.67,12.55,12.41,12.34
aggregation,GWO,SSE,7,9.81,16.48,0.88,0.15,0.83,0.76,0.8,0.79,0.65,0.0,12.61,0.29,0.65,0.98,0.78,0.06,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48
aggregation,GWO,SSE,7,10.05,11.23,0.91,0.11,0.87,0.79,0.83,0.83,0.7,0.23,11.12,0.28,0.7,0.97,0.77,0.05,29.97,24.93,24.62,24.62,24.62,20.99,20.99,20.99,20.99,20.99,20.53,20.53,20.53,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.43,17.28,16.87,16.87,16.86,16.57,16.46,16.39,16.39,16.2,16.2,15.4,15.28,13.97,13.52,13.52,13.52,13.23,12.85,12.46,12.22,11.74,11.71,11.71,11.48,11.48,11.3,11.3,11.23
banknote,GWO,SSE,2,24.81,480.22,0.79,0.69,0.3,0.3,0.3,0.3,0.34,0.79,418.74,0.35,0.34,0.99,1.23,0.27,1038.49,793.12,671.75,613.99,531.34,515.02,508.15,506.29,496.62,494.03,491.56,488.58,487.41,485.37,485.37,485.37,481.96,481.57,481.57,481.57,480.76,480.76,480.76,480.76,480.76,480.76,480.75,480.75,480.75,480.75,480.66,480.55,480.55,480.55,480.55,480.34,480.34,480.34,480.34,480.34,480.34,480.34,480.34,480.34,480.34,480.34,480.27,480.23,480.23,480.22
