Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,SSA,SSE,3,1.69,4.48,0.83,0.28,0.72,0.81,0.76,0.76,0.67,0.42,3.84,0.25,0.67,0.92,0.62,0.07,0.0,16.87,14.71,11.83,11.57,10.66,9.78,8.82,8.23,8.13,8.01,6.9,6.7,6.62,6.05,5.94,5.56,5.33,5.12,4.96,4.85,4.73,4.69,4.62,4.56,4.55,4.52,4.51,4.5,4.49,4.49,4.49,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48
aggregation,SSA,SSE,7,9.86,12.99,0.88,0.14,0.85,0.77,0.81,0.81,0.7,0.07,12.48,0.29,0.7,0.98,0.86,0.05,0.0,21.04,20.67,20.27,20.07,20.07,19.59,18.55,17.87,16.95,16.14,15.55,15.48,15.47,15.24,14.99,14.42,14.14,13.83,13.63,13.47,13.32,13.25,13.17,13.13,13.09,13.06,13.04,13.03,13.02,13.01,13.0,13.0,13.0,13.0,13.0,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99
banknote,SSA,SSE,2,26.12,531.62,0.69,0.86,0.13,0.15,0.14,0.14,0.16,0.57,425.49,0.33,0.16,0.98,1.07,0.26,0.0,817.71,739.9,694.94,682.04,654.22,630.14,608.0,598.31,593.49,589.71,578.82,568.37,559.5,556.8,550.74,547.06,539.62,538.45,537.52,535.65,534.6,533.62,532.79,532.78,532.37,532.16,532.04,531.99,531.91,531.83,531.77,531.72,531.69,531.66,531.64,531.63,531.63,531.63,531.62,531.62,531.62,531.62,531.62,531.62,531.62,531.62,531.62,531.62,531.62
balance,SSA,SSE,3,7.97,140.15,0.65,0.74,0.12,0.1,0.1,0.1,0.12,0.39,140.07,0.42,0.12,0.86,1.71,0.12,0.0,155.39,153.1,153.1,150.15,147.18,147.18,145.91,145.91,144.9,144.5,143.2,143.03,142.3,141.73,141.02,140.84,140.84,140.66,140.59,140.47,140.4,140.32,140.25,140.21,140.19,140.18,140.17,140.17,140.16,140.16,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15,140.15
ecoli,SSA,SSE,7,4.25,30.87,0.75,0.32,0.56,0.56,0.56,0.54,0.54,0.02,22.81,0.4,0.54,0.95,1.42,0.11,0.0,51.52,46.89,45.45,43.65,43.4,43.14,42.75,41.38,41.19,40.28,40.28,39.66,38.29,37.53,36.34,35.45,34.63,33.81,32.95,32.65,32.21,31.82,31.44,31.33,31.16,31.07,31.01,30.97,30.93,30.91,30.9,30.89,30.88,30.88,30.88,30.87,30.87,30.87,30.87,30.87,30.87,30.87,30.87,30.87,30.87,30.87,30.87,30.87,30.87
smiley,SSA,SSE,4,6.24,12.25,0.77,0.36,0.34,0.19,0.25,0.24,0.02,0.08,12.23,0.27,0.02,0.98,0.74,0.06,0.0,17.63,17.62,16.12,15.8,15.13,15.13,15.06,14.98,14.41,13.62,13.4,12.8,12.74,12.71,12.59,12.52,12.48,12.42,12.36,12.32,12.31,12.29,12.28,12.27,12.26,12.26,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25
iris,GWO,SSE,3,1.96,4.36,0.85,0.26,0.74,0.81,0.77,0.77,0.7,0.24,3.71,0.25,0.7,0.89,0.61,0.07,26.52,18.82,18.59,17.13,15.5,15.5,15.34,14.15,14.15,14.11,13.08,10.7,10.7,10.32,10.32,9.91,9.35,9.13,8.83,8.83,8.58,8.58,7.37,7.22,7.14,7.14,6.98,6.98,6.98,6.73,6.55,6.55,6.55,6.51,5.89,5.89,5.8,5.8,5.57,5.43,5.41,5.36,5.2,5.09,4.77,4.66,4.52,4.48,4.41,4.36
aggregation,GWO,SSE,7,9.99,13.35,0.88,0.13,0.85,0.76,0.8,0.8,0.66,0.12,11.85,0.28,0.66,0.97,0.81,0.05,24.6,22.35,22.25,22.25,20.33,19.12,19.12,19.12,19.12,19.12,18.96,18.96,18.96,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,17.56,17.42,17.39,17.38,16.61,16.58,16.05,16.05,15.98,15.98,15.66,15.62,14.99,14.84,14.84,14.56,14.45,14.32,14.19,14.06,13.83,13.81,13.73,13.58,13.54,13.44,13.4,13.35
banknote,GWO,SSE,2,25.3,479.77,0.79,0.69,0.3,0.3,0.3,0.3,0.34,0.79,418.63,0.35,0.34,0.99,1.23,0.27,950.11,818.92,675.08,592.99,524.78,517.16,503.53,501.96,498.31,497.04,496.21,492.51,492.12,490.39,488.59,487.75,486.08,484.74,484.52,483.62,481.99,481.63,481.35,481.35,481.15,481.15,481.1,480.51,480.51,480.51,480.49,480.3,480.3,480.29,480.29,480.15,480.15,480.14,480.1,480.04,479.91,479.91,479.91,479.86,479.86,479.86,479.84,479.78,479.78,479.77
balance,GWO,SSE,3,9.0,139.27,0.66,0.73,0.12,0.1,0.11,0.11,0.14,0.27,139.1,0.42,0.14,0.86,1.71,0.12,174.14,159.4,158.1,156.41,156.4,156.4,156.17,153.46,151.47,151.47,151.1,150.64,150.11,150.01,150.01,149.85,149.6,149.6,149.55,146.75,146.75,146.75,146.4,146.14,146.14,144.97,144.56,144.56,143.67,143.67,143.67,143.67,142.41,142.41,142.36,142.36,142.34,141.88,141.58,141.41,141.04,140.76,140.4,140.21,140.17,139.9,139.71,139.5,139.4,139.27
