optimizer,obj,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,3,21.31387666666667,0.10217398,0.1018462,0.57667692,0.11259112,0.11183073,0.09349840999999999,0.10184619,0.50979375,0.39863059,0.4474107
GWO,SSEI,3,49.51815666666667,0.11807644,0.11800435999999999,0.58851282,0.13830903,0.12923617,0.10856949,0.1180048,0.52710943,0.41655931,0.46535894
MVO,SSEI,3,75.42213,0.10536939,0.10507124,0.57759487,0.11461282,0.11532815,0.09649040999999998,0.10507163000000001,0.51114667,0.4001336,0.44887827
PSO,SSEI,3,103.23904666666665,0.08350682999999999,0.08327102,0.57422051,0.10753995,0.09139928999999998,0.07647011,0.08327085,0.50613333,0.39620908,0.44447566999999993
