optimizer,obj,trial,n_clusters,fitness
SADE,CHI,1,2,99.01971699=99.01971699=101.8679682=106.45696798=108.25811636=108.25811636=109.04706315=109.04706315=111.45177741=111.98229818=116.53177465=116.53177465=116.53177465=117.58981155=117.79303333=120.42544551=123.87040317=123.87040317=123.87040317=123.87434161=124.25576295=124.32495582=124.32495582=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=124.62912823=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832
SADE,CHI,2,2,98.23976178=113.59918219=114.77366269=114.77366269=114.77366269=118.24606098=119.23398097=123.28077275=123.28077275=123.28077275=123.28077275=123.28077275=123.28077275=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832
SADE,CHI,3,2,105.2364424=107.50829265=107.50829265=118.03941683=118.03941683=118.03941683=118.03941683=119.90310815=119.90310815=123.12338834=123.12338834=123.49063801=123.6152829=123.6152829=123.6152829=123.68182384=123.68182384=123.68182384=123.95857145=123.95857145=124.58495757=124.58495757=124.58495757=124.58495757=124.58495757=124.69405873=124.69405873=124.69405873=124.69405873=124.69405873=124.69405873=124.92441478=124.92441478=124.92441478=124.92441478=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832
SADE,CHI,4,2,98.15213471=98.15213471=98.15213471=113.97514582=116.80731675=116.80731675=116.80731675=116.80731675=116.80731675=116.80731675=116.80731675=116.80731675=116.80731675=121.06754844=121.06754844=121.06754844=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=123.65431797=124.46344276=124.46344276=124.46344276=124.46344276=124.46344276=124.46344276=124.46344276=124.46344276=124.46344276=124.46344276=124.46344276=124.46344276=124.57164713=124.57164713=124.57164713=124.57164713=124.58799519=124.58799519=124.58799519=124.58799519=124.58799519=124.58799519=124.58799519=124.58799519=124.69405873=124.69405873=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.93249908=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832
SADE,CHI,5,2,109.71456935=109.71456935=115.43704852=115.43704852=115.43704852=121.85666363=121.85666363=121.85666363=123.09581316=123.09581316=123.09581316=123.09581316=123.09581316=123.09581316=123.09581316=123.90536996=123.90536996=123.90536996=123.90536996=124.65482577=124.65482577=124.65482577=124.65482577=124.92974386=124.92974386=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832
SADE,CHI,6,2,101.17782562=101.17782562=112.44023072=112.90593089=112.90593089=112.90593089=112.90593089=117.47744905=119.40626419=119.96002296=119.96002296=119.96002296=123.89561082=123.89561082=123.89561082=123.95033393=123.95033393=123.95033393=123.95033393=123.95033393=124.16263845=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832
SADE,CHI,7,2,106.64167134=106.64167134=106.64167134=121.23805483=121.23805483=121.23805483=121.23805483=121.23805483=121.23805483=121.23805483=121.23805483=123.28557437=123.28557437=123.28557437=123.28557437=123.85831622=123.85831622=123.85831622=123.85831622=123.85831622=123.85831622=123.85831622=124.21522071=124.21522071=124.21522071=124.21522071=124.21522071=124.21522071=124.21522071=124.21522071=124.30000342=124.30000342=124.30000342=124.33657883=124.33657883=124.33657883=124.33657883=124.33657883=124.35260767=124.35260767=124.35260767=124.55057477=124.55057477=124.55057477=124.55234036=124.55234036=124.55234036=124.55234036=124.55234036=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832
SADE,CHI,8,2,108.1143931=108.1143931=108.1143931=108.1143931=108.1143931=111.69630712=116.30908266=117.50453124=117.50453124=117.50453124=117.50453124=120.82184759=123.05161815=123.05161815=123.05161815=123.05161815=123.05161815=123.05161815=123.05161815=123.05161815=123.05161815=123.23544136=123.68182384=124.58495757=124.58495757=124.58495757=124.58495757=124.58495757=124.58495757=124.58495757=124.58495757=124.6487859=124.6487859=124.6487859=124.6487859=124.6487859=124.6487859=124.6487859=124.6487859=124.6487859=124.6487859=124.6487859=124.69405873=124.69405873=124.69405873=124.69405873=124.69405873=124.77527539=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92441478=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=125.05548832=125.05548832=125.05548832
SADE,CHI,9,2,115.68951762=115.68951762=115.68951762=115.68951762=115.68951762=115.68951762=115.68951762=115.68951762=116.66643192=118.73631627=118.73631627=120.89502696=120.89502696=120.89502696=120.89502696=120.89502696=120.89502696=121.02360374=121.02360374=121.02360374=122.27662289=122.27662289=123.23131966=123.23131966=123.23131966=123.50147923=123.50147923=123.50147923=123.50147923=123.50147923=123.50147923=123.50147923=123.50147923=123.50147923=123.50147923=123.50147923=123.50147923=123.66123455=123.66123455=124.08956572=124.13750432=124.13750432=124.13750432=124.13750432=124.13750432=124.13750432=124.53344587=124.53344587=124.53344587=124.53344587=124.53344587=124.53344587=124.53344587=124.53344587=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.8484208=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=124.92974386=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832
SADE,CHI,10,2,109.2031858=109.2031858=109.2031858=109.2031858=113.13311604=114.40020797=114.40020797=118.63780084=118.63780084=119.96002296=122.56554882=122.56554882=122.56554882=123.19680233=123.19680233=123.19680233=123.19680233=123.19680233=123.19680233=123.19680233=123.19680233=123.19680233=123.84829986=123.84829986=124.69405873=124.69405873=124.69405873=124.69405873=124.69405873=124.69405873=124.69405873=124.69405873=124.69405873=124.70297409=124.70297409=124.70297409=124.70297409=124.70297409=124.70297409=124.92974386=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832=125.05548832
