optimizer,obj,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,2,7.25314231410444,1.8724445165742407e-15,2.340555645717801e-16,0.0005692099788303071,5.851389114294502e-17,0.0,0.0,0.0,0.0,0.0,0.0
SADE,CHI,2,5.381347634403227,1.8724445165742407e-15,2.340555645717801e-16,0.0005577096018538667,5.851389114294502e-17,0.0,0.0,0.0,0.0,0.0,0.0
SADE,RTS,2,239.8670040234882,7.191494055122807,nan,0.0816557598226985,0.4477469410789487,0.5756202415906592,0.0,0.0,0.0,0.0,0.0
SADE,ARS,2,9.592820886332408,0.766578909137503,0.5488357093591649,0.10948640455427433,0.16159381667557016,0.6222549144745888,0.0,0.0,0.0,0.0,0.0
SSO,MSEI,2,6.817736261107547,0.026563510812139823,0.03730861509088754,0.013993728793840312,0.01441627876164073,0.0483236041817155,0.0,0.0,0.0,0.0,0.0
SSO,CHI,2,6.951045140967465,0.022413686022408643,0.00810223590539468,0.003141959049170865,0.0024941943700432794,0.018929828930376903,0.0,0.0,0.0,0.0,0.0
