optimizer,obj,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,2,405148.420304,14.982229999999998,1.3140800000000001,0.22708,0.43994999999999995,-1.29876,0.71505,0.0,1.0,0.0,0.75565
SADE,CHI,2,405167.92964,14.982229999999998,1.3140800000000001,0.227188,0.43994999999999995,-1.29876,0.71505,0.0,1.0,0.0,0.75565
SADE,RTS,2,405516.19297,20.497050000000005,inf,0.15082299999999998,0.20655699999999996,-1.133712,0.71505,0.0,1.0,0.0,0.75565
SADE,ARS,2,405971.444931,18.073427000000002,1.731597,0.196544,0.34863900000000003,-1.529119,0.71505,0.0,1.0,0.0,0.75565
SSO,MSEI,2,405999.00608,14.993272,1.3267960000000003,0.223673,0.43426400000000004,-1.2775389999999998,0.71505,0.0,1.0,0.0,0.75565
SSO,CHI,2,406021.70086399995,14.995258999999999,1.3120060000000002,0.22942199999999996,0.440735,-1.3031969999999997,0.71505,0.0,1.0,0.0,0.75565
