,Optimizer,Dataset,Run_Time
0,SSA,iris,8.1244038
1,SSA,aggregation,33.577236400000004
2,SSA,banknote,83.8485954
3,SSA,balance,26.394188400000004
4,SSA,ecoli,14.961904499999974
5,SSA,smiley,20.689177599999994
6,GWO,iris,8.100102700000008
7,GWO,aggregation,32.70255500000002
8,GWO,banknote,77.4166524
9,GWO,balance,26.852710000000002
10,GWO,ecoli,15.472911199999999
11,GWO,smiley,22.59089449999999
12,MVO,iris,8.072634299999947
13,MVO,aggregation,33.02416199999999
14,MVO,banknote,78.36747000000003
15,MVO,balance,27.126500499999963
16,MVO,ecoli,15.39426370000001
17,MVO,smiley,21.226971700000036
18,PSO,iris,8.372511700000018
19,PSO,aggregation,34.44250109999996
20,PSO,banknote,77.21006289999991
21,PSO,balance,27.279587600000013
22,PSO,ecoli,14.443548699999951
23,PSO,smiley,21.000458699999967
