Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,MVO,SSE,3,1.83,2.86,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.03,2.83,0.21,0.89,0.82,0.63,0.06,22.2,21.65,21.65,19.44,18.93,18.93,18.93,15.47,14.42,13.04,12.6,9.08,9.08,9.08,9.08,9.08,9.08,8.82,8.82,8.76,7.5,7.5,6.06,6.06,5.92,5.92,5.36,5.36,5.32,5.32,4.76,4.76,4.76,4.62,4.15,4.0,3.55,3.34,3.22,3.17,3.12,3.1,2.98,2.93,2.89,2.89,2.88,2.87,2.87,2.86
iris,MVO,SSE,3,1.94,2.86,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.96,2.83,0.21,0.89,0.82,0.63,0.06,20.45,20.45,20.45,13.0,11.57,11.57,11.57,10.23,8.27,8.27,8.27,8.27,8.27,7.26,7.16,7.16,7.16,7.16,6.85,6.33,6.33,5.0,5.0,4.95,4.95,4.0,4.0,3.79,3.79,3.79,3.44,3.44,3.44,3.44,3.32,3.31,3.31,3.2,3.2,3.08,3.03,2.98,2.98,2.98,2.98,2.94,2.91,2.89,2.86,2.86
iris,MVO,SSE,3,1.84,2.88,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.96,2.83,0.21,0.89,0.82,0.63,0.06,22.91,15.73,15.73,9.68,9.68,9.68,9.68,9.68,9.68,8.34,8.09,8.09,8.09,7.02,7.02,7.02,7.02,6.59,5.95,5.42,5.42,5.42,5.42,5.42,5.24,4.69,4.2,4.19,3.64,3.64,3.64,3.64,3.64,3.52,3.43,3.42,3.42,3.42,3.24,3.18,3.12,3.08,3.03,2.97,2.94,2.94,2.93,2.91,2.9,2.88
aggregation,MVO,SSE,7,10.67,11.08,0.89,0.1,0.88,0.8,0.84,0.84,0.74,0.04,10.93,0.27,0.74,0.98,0.69,0.04,26.54,26.54,26.54,26.54,26.54,26.54,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,17.9,17.9,17.9,17.9,16.1,16.1,16.1,14.45,14.31,14.31,13.49,13.49,13.49,13.49,13.39,13.12,13.06,12.97,12.11,11.84,11.74,11.74,11.74,11.72,11.42,11.22,11.18,11.16,11.12,11.1,11.08
aggregation,MVO,SSE,7,11.21,11.77,0.89,0.11,0.87,0.79,0.83,0.83,0.72,0.16,11.5,0.28,0.72,0.99,0.86,0.05,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.08,22.19,19.77,19.77,19.77,19.77,19.77,19.77,17.87,17.6,16.49,15.03,15.03,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.55,14.28,14.06,14.06,14.06,13.17,13.17,13.17,13.17,12.94,12.94,12.75,12.75,12.6,12.39,12.26,12.15,11.98,11.93,11.88,11.83,11.79,11.77
aggregation,MVO,SSE,7,10.27,11.77,0.91,0.1,0.89,0.82,0.85,0.85,0.75,0.0,11.66,0.27,0.75,0.97,0.75,0.05,28.12,24.44,23.17,23.17,23.14,23.14,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21.64,21.64,21.64,18.42,17.57,17.57,17.57,17.57,17.57,17.57,17.57,17.31,17.02,17.02,16.07,16.07,15.12,15.12,13.96,13.96,13.96,13.96,13.13,12.87,12.87,12.48,12.34,12.34,12.31,12.11,11.99,11.9,11.9,11.9,11.86,11.81,11.77
banknote,MVO,SSE,2,25.94,477.98,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.79,418.57,0.34,0.34,0.99,1.23,0.27,1088.87,1088.87,977.3,745.74,718.02,645.99,645.99,630.87,630.87,612.59,561.03,561.03,534.02,507.31,490.73,490.73,490.73,480.97,480.97,480.97,480.97,480.97,480.97,480.97,480.97,480.97,480.97,480.97,480.97,480.97,480.97,480.97,480.97,479.19,479.19,479.19,479.19,479.19,479.19,479.19,478.96,478.43,477.98,477.98,477.98,477.98,477.98,477.98,477.98,477.98
banknote,MVO,SSE,2,26.12,478.0,0.79,0.69,0.3,0.3,0.3,0.3,0.34,0.19,418.91,0.35,0.34,0.99,1.23,0.27,1156.15,986.65,986.65,784.85,604.81,604.81,604.81,594.18,594.18,552.88,547.53,547.53,537.75,505.13,505.13,505.13,505.13,502.78,484.54,484.54,484.54,484.54,484.54,484.54,484.54,484.54,484.54,484.54,484.54,484.54,484.54,484.54,483.1,480.06,480.06,480.06,480.06,480.06,479.82,478.97,478.97,478.97,478.97,478.36,478.36,478.1,478.02,478.02,478.0,478.0
banknote,MVO,SSE,2,25.94,479.38,0.78,0.72,0.27,0.27,0.27,0.27,0.32,0.21,416.48,0.34,0.32,0.99,1.23,0.27,1486.27,1486.27,829.89,823.8,686.22,670.17,670.17,670.17,669.17,669.17,665.99,647.63,577.31,556.1,495.78,487.68,487.68,487.68,484.24,484.24,484.24,483.93,483.93,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,481.1,480.13,480.13,479.84,479.77,479.64,479.45,479.38
balance,MVO,SSE,3,8.74,139.36,0.67,0.71,0.15,0.12,0.14,0.13,0.16,0.2,139.3,0.42,0.16,0.86,1.72,0.12,161.8,161.8,161.8,161.8,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,151.43,148.09,144.88,144.88,144.88,144.88,144.88,143.02,143.02,143.02,142.36,142.36,142.36,142.36,142.36,142.18,141.33,141.33,141.33,141.07,140.33,140.33,140.27,140.27,139.96,139.91,139.8,139.75,139.5,139.5,139.49,139.48,139.42,139.39,139.36
