Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,MVO,SSE,3,1.88,5.95,0.67,0.42,0.58,0.78,0.67,0.66,0.48,0.34,5.88,0.23,0.48,0.96,0.71,0.1,22.44,22.44,21.67,21.67,19.57,19.57,18.74,12.94,12.94,12.94,12.94,10.57,10.57,9.14,9.0,7.41,7.41,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,6.88,6.87,6.87,6.87,6.65,6.29,6.29,6.17,6.14,6.1,6.08,6.05,6.05,6.02,6.02,6.02,6.02,5.99,5.98,5.96,5.95
iris,MVO,SSE,3,1.91,2.87,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.01,2.83,0.21,0.89,0.82,0.63,0.06,32.99,22.78,19.88,19.88,15.02,15.02,12.19,12.19,12.19,12.12,10.99,10.34,9.6,9.17,8.61,7.82,7.22,7.22,7.15,4.78,4.78,4.78,4.78,4.78,4.77,4.65,4.4,4.4,4.4,4.09,3.47,3.47,3.47,3.45,3.4,3.4,3.37,3.27,3.17,3.08,3.04,3.0,2.99,2.99,2.99,2.95,2.91,2.88,2.88,2.87
iris,MVO,SSE,3,1.89,2.86,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.31,2.83,0.21,0.89,0.82,0.63,0.06,23.6,19.81,18.18,18.18,13.69,13.69,7.72,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,6.73,6.73,6.4,4.86,4.86,4.86,4.86,4.86,4.43,3.87,3.87,3.87,3.66,3.61,3.61,3.39,3.36,3.35,3.34,3.34,3.12,3.06,3.06,3.0,2.98,2.98,2.95,2.92,2.88,2.87,2.86,2.86
