Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
aggregation,PSO,SSE,7,10.5,12.55,0.89,0.12,0.86,0.79,0.82,0.82,0.74,0.02,11.29,0.27,0.74,0.97,0.73,0.05,23.71,21.62,21.62,21.62,21.62,21.23,21.23,21.23,20.91,20.91,20.91,18.08,18.08,18.08,18.08,18.08,17.02,17.02,17.02,17.02,17.02,17.02,16.89,16.04,16.04,15.23,15.23,15.23,15.23,14.08,14.08,14.08,13.89,13.89,13.89,13.57,13.57,13.57,13.24,13.24,13.24,13.24,13.21,13.13,13.13,13.02,13.01,12.81,12.67,12.55
aggregation,PSO,SSE,7,10.53,11.63,0.91,0.11,0.87,0.79,0.83,0.83,0.7,0.06,11.11,0.28,0.7,0.98,0.77,0.05,27.48,27.48,27.02,25.96,25.96,25.96,25.96,22.03,22.03,21.72,21.72,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,18.97,18.97,18.97,17.74,17.74,17.74,16.66,16.66,16.66,16.66,16.66,15.86,15.85,15.85,15.85,15.72,15.61,14.44,13.68,13.51,12.86,12.7,12.33,12.28,12.23,11.71,11.71,11.63,11.63
aggregation,PSO,SSE,7,10.85,13.0,0.86,0.14,0.83,0.76,0.79,0.79,0.68,0.04,12.31,0.28,0.68,0.96,0.82,0.05,21.95,20.61,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,17.72,16.44,16.44,16.44,15.23,15.23,15.23,15.23,15.15,14.8,14.8,14.72,14.72,14.49,14.49,14.49,14.49,14.49,14.49,14.43,14.43,14.3,14.3,14.29,14.27,14.27,13.96,13.94,13.93,13.64,13.41,13.38,13.38,13.02,13.02,13.0
