optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,3,2.27309,0.85552491,0.78566527,0.89225951,0.75833845,0.77873233,0.79272258,0.78566518,0.82351401,0.85578231,0.83933814
SSA,SSEI,2,3,3.14152,0.85552491,0.78566527,0.89225951,0.75833845,0.77873233,0.79272258,0.78566518,0.82351401,0.85578231,0.83933814
SSA,SSEI,3,3,3.99857,0.85552491,0.78566527,0.89225951,0.75833845,0.77873233,0.79272258,0.78566518,0.82351401,0.85578231,0.83933814
GWO,SSEI,1,3,36.63801,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
GWO,SSEI,2,3,37.12117,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
GWO,SSEI,3,3,37.57982,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
MVO,SSEI,1,3,61.58059,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
MVO,SSEI,2,3,62.12841,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
MVO,SSEI,3,3,62.7079,0.80903928,0.74191141,0.87373602,0.71634211,0.73641929,0.74748658,0.74191166,0.79820864,0.8244898,0.81113639
PSO,SSEI,1,3,90.28437,0.87447519,0.80569351,0.89225951,0.75919871,0.79598162,0.81564569,0.80569369,0.81916817,0.86285714,0.84044527
PSO,SSEI,2,3,90.7105,0.87447519,0.80569351,0.89225951,0.75919871,0.79598162,0.81564569,0.80569369,0.81916817,0.86285714,0.84044527
PSO,SSEI,3,3,91.13654,0.87447519,0.80569351,0.89225951,0.75919871,0.79598162,0.81564569,0.80569369,0.81916817,0.86285714,0.84044527
