optimizer,obj,trial,n_clusters,fitness
SSA,SSEI,1,3,7.5179142=7.47608209=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927
SSA,SSEI,2,3,7.5179142=7.47608209=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927
SSA,SSEI,3,3,7.5179142=7.47608209=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927=7.04803927
GWO,SSEI,1,3,7.10964924=7.10964924=7.10964924=7.10964924=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647
GWO,SSEI,2,3,7.10964924=7.10964924=7.10964924=7.10964924=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647
GWO,SSEI,3,3,7.10964924=7.10964924=7.10964924=7.10964924=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=7.06998575=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647
MVO,SSEI,1,3,7.86928302=7.56821985=7.4141912=7.29541858=7.22789503=7.22789503=7.16368438=6.99890769=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647
MVO,SSEI,2,3,7.86928302=7.56821985=7.4141912=7.29541858=7.22789503=7.22789503=7.16368438=6.99890769=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647
MVO,SSEI,3,3,7.86928302=7.56821985=7.4141912=7.29541858=7.22789503=7.22789503=7.16368438=6.99890769=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647=6.98221647
PSO,SSEI,1,3,7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.4141912=7.30759169=7.30759169=7.30180897=7.18112898=7.11683945=7.11683945=7.11683945=7.06998575=7.0493814=7.0493814=7.0493814=7.0493814=7.0493814=7.0493814=7.0493814=7.0493814=7.0493814=7.0493814=7.0493814=7.0493814
