optimizer,obj,trial,n_clusters,fitness
SSA,SSEI,1,7,15.94225809=15.84623087=15.72314331=15.66604519=15.66604519=15.66604519=14.20383244=13.96519118=13.93949965=13.64146837=13.57830715=13.52408604=13.44967138=13.40176038=13.39345549=13.39345549=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618
SSA,SSEI,2,7,15.94225809=15.84623087=15.72314331=15.66604519=15.66604519=15.66604519=14.20383244=13.96519118=13.93949965=13.64146837=13.57830715=13.52408604=13.44967138=13.40176038=13.39345549=13.39345549=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618
SSA,SSEI,3,7,15.94225809=15.84623087=15.72314331=15.66604519=15.66604519=15.66604519=14.20383244=13.96519118=13.93949965=13.64146837=13.57830715=13.52408604=13.44967138=13.40176038=13.39345549=13.39345549=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618=13.37990618
GWO,SSEI,1,7,16.07012725=16.07012725=15.6246554=15.6246554=15.6246554=15.33129724=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.27341349=14.27341349=14.04419528=14.04419528=13.41562263=13.41562263=13.41562263=13.10711766=13.10711766=13.10711766=13.10711766=13.10711766=13.10711766=13.1030629=13.1030629=13.1030629=13.02994178=13.02994178=13.01721174=13.01721174=13.01721174=13.00258127=13.00017186=12.94914728=12.94914728=12.93253729=12.91813812=12.91112995=12.91029674
GWO,SSEI,2,7,16.07012725=16.07012725=15.6246554=15.6246554=15.6246554=15.33129724=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.27341349=14.27341349=14.04419528=14.04419528=13.41562263=13.41562263=13.41562263=13.10711766=13.10711766=13.10711766=13.10711766=13.10711766=13.10711766=13.1030629=13.1030629=13.1030629=13.02994178=13.02994178=13.01721174=13.01721174=13.01721174=13.00258127=13.00017186=12.94914728=12.94914728=12.93253729=12.91813812=12.91112995=12.91029674
GWO,SSEI,3,7,16.07012725=16.07012725=15.6246554=15.6246554=15.6246554=15.33129724=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.50314375=14.27341349=14.27341349=14.04419528=14.04419528=13.41562263=13.41562263=13.41562263=13.10711766=13.10711766=13.10711766=13.10711766=13.10711766=13.10711766=13.1030629=13.1030629=13.1030629=13.02994178=13.02994178=13.01721174=13.01721174=13.01721174=13.00258127=13.00017186=12.94914728=12.94914728=12.93253729=12.91813812=12.91112995=12.91029674
MVO,SSEI,1,7,13.45459105=13.3711226=13.3711226=13.3711226=13.3711226=13.3711226=13.3711226=13.12476112=13.12476112=13.12252613=13.06293481=13.06293481=13.06293481=12.98404575=12.98404575=12.98404575=12.98404575=12.98404575=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84274611=12.84274611=12.83302431=12.82819341=12.80868796=12.79829236=12.79829236=12.79829236=12.79829236=12.79678474=12.79153944=12.79153944=12.78809164=12.78809164=12.78809164
MVO,SSEI,2,7,13.45459105=13.3711226=13.3711226=13.3711226=13.3711226=13.3711226=13.3711226=13.12476112=13.12476112=13.12252613=13.06293481=13.06293481=13.06293481=12.98404575=12.98404575=12.98404575=12.98404575=12.98404575=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84274611=12.84274611=12.83302431=12.82819341=12.80868796=12.79829236=12.79829236=12.79829236=12.79829236=12.79678474=12.79153944=12.79153944=12.78809164=12.78809164=12.78809164
MVO,SSEI,3,7,13.45459105=13.3711226=13.3711226=13.3711226=13.3711226=13.3711226=13.3711226=13.12476112=13.12476112=13.12252613=13.06293481=13.06293481=13.06293481=12.98404575=12.98404575=12.98404575=12.98404575=12.98404575=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.87464745=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84579466=12.84274611=12.84274611=12.83302431=12.82819341=12.80868796=12.79829236=12.79829236=12.79829236=12.79829236=12.79678474=12.79153944=12.79153944=12.78809164=12.78809164=12.78809164
PSO,SSEI,1,7,14.82194436=14.82194436=14.82194436=14.82194436=13.94342657=13.94342657=13.94342657=13.94342657=13.94342657=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.92815321=13.87752556=13.85022092=13.85022092=13.85022092=13.85022092=13.85022092=13.85022092=13.85022092=13.85022092=13.62779154=13.62779154=13.62779154=13.62779154=13.62779154=13.62779154=13.62779154=13.62779154=13.62779154=13.62779154=13.62779154=13.55939704=13.50303564=13.49821114=13.49821114=13.49821114=13.48588685=13.48588685
