optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SSO,MSEI,8,2,966669.4441,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,MSEI,9,2,966672.45454,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,MSEI,10,2,966675.44701,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,1,2,966678.44661,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,2,2,966681.37319,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,3,2,966684.2895,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,4,2,966687.20998,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,5,2,966690.04472,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,6,2,966692.9551,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,7,2,966695.88097,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,8,2,966698.76278,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,9,2,966701.68492,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,10,2,966704.6059,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,RTS,1,2,966707.55571,77.01275,1.1902,0.12169,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
SSO,RTS,2,2,966967.742,78.06533,1.16719,0.34272,0.25368,-0.30022,0.64595,0.17035,0.27272,0.20971,0.65814
SSO,RTS,3,2,967228.54289,78.07189,1.16044,0.33141,0.25384,-0.29434,0.64596,0.1695,0.27206,0.20887,0.65823
SSO,RTS,4,2,967490.61279,78.02022,1.18353,0.33535,0.25416,-0.31596,0.64591,0.17379,0.27538,0.2131,0.65779
