optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,1,2,324328.23248,62.64033,1.18145,0.28917,0.35524,-0.26546,0.49945,1e-05,1e-05,1e-05,0.49945
SADE,MSEI,2,2,324332.50004,62.6277,1.1816,0.30613,0.3555,-0.26586,0.49934,0.0,0.0,0,0.49934
SADE,MSEI,3,2,324336.72392,62.6454,1.18192,0.29096,0.35529,-0.26609,0.49941,3e-05,3e-05,3e-05,0.49941
SADE,MSEI,4,2,324341.97123,62.6221,1.18139,0.29031,0.35548,-0.26551,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,MSEI,5,2,324346.3462,62.62413,1.1815,0.30131,0.35553,-0.26582,0.49933,0.0,0.0,0,0.49933
SADE,MSEI,6,2,324350.68169,62.64025,1.18182,0.29573,0.35526,-0.2658,0.49948,6e-05,6e-05,6e-05,0.49948
SADE,MSEI,7,2,324354.91109,62.6598,1.18223,0.27852,0.35498,-0.26651,0.49939,8e-05,8e-05,8e-05,0.49939
SADE,MSEI,8,2,324359.10196,62.65682,1.18148,0.28242,0.35502,-0.26633,0.49936,0.0,0.0,0,0.49936
SADE,MSEI,9,2,324363.28235,62.65447,1.18198,0.28484,0.35519,-0.26618,0.49948,8e-05,8e-05,8e-05,0.49948
SADE,MSEI,10,2,324367.4492,62.63046,1.18148,0.29382,0.3554,-0.2656,0.49941,5e-05,5e-05,5e-05,0.49941
SADE,CHI,1,2,324371.61571,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,CHI,2,2,324375.72847,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,CHI,3,2,324379.8499,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,CHI,4,2,324383.9888,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,CHI,5,2,324388.10736,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,CHI,6,2,324392.21577,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,CHI,7,2,324396.32257,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,CHI,8,2,324400.42225,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,CHI,9,2,324404.57418,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,CHI,10,2,324408.68861,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SADE,NMIS,1,2,324412.79669,78.47291,1.16283,0.4281,0.25095,-0.29671,0.64671,0.17262,0.28001,0.21358,0.65932
SADE,NMIS,2,2,324418.01271,78.29466,1.17133,0.4433,0.25206,-0.30421,0.64664,0.17606,0.28258,0.21695,0.65893
SADE,NMIS,3,2,324423.26151,78.29466,1.17133,0.4433,0.25206,-0.30421,0.64664,0.17606,0.28258,0.21695,0.65893
SADE,NMIS,4,2,324428.46427,78.25094,1.1743,0.11762,0.25256,-0.30825,0.64663,0.17692,0.28323,0.21779,0.65883
SADE,NMIS,5,2,324433.66685,78.29466,1.17133,0.11814,0.25206,-0.30421,0.64664,0.17606,0.28258,0.21695,0.65893
SADE,NMIS,6,2,324438.8463,78.29466,1.17133,0.11814,0.25206,-0.30421,0.64664,0.17606,0.28258,0.21695,0.65893
SADE,NMIS,7,2,324444.07138,78.24462,1.17339,0.11766,0.25244,-0.3064,0.64663,0.17692,0.28323,0.21779,0.65883
SADE,NMIS,8,2,324449.25836,78.29039,1.17081,0.44295,0.25203,-0.30334,0.64664,0.17606,0.28258,0.21695,0.65893
SADE,NMIS,9,2,324454.46412,78.29466,1.17133,0.4433,0.25206,-0.30421,0.64664,0.17606,0.28258,0.21695,0.65893
SADE,NMIS,10,2,324459.64026,78.29466,1.17133,0.4433,0.25206,-0.30421,0.64664,0.17606,0.28258,0.21695,0.65893
SADE,ARS,1,2,324464.82709,77.01275,1.1902,0.3242,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
SADE,ARS,2,2,324468.87454,77.1124,1.18674,0.3237,0.25642,-0.31491,0.64035,0.15271,0.23328,0.18459,0.65101
SADE,ARS,3,2,324472.94453,78.02022,1.18353,0.11864,0.25416,-0.31596,0.64591,0.17379,0.27538,0.2131,0.65779
SADE,ARS,4,2,324476.98844,77.05485,1.18803,0.12218,0.25682,-0.31606,0.64036,0.15355,0.234,0.18542,0.65095
SADE,ARS,5,2,324481.04965,77.01275,1.1902,0.12169,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
SADE,ARS,6,2,324485.08677,77.10509,1.18651,0.12264,0.2565,-0.31478,0.64035,0.15271,0.23328,0.18459,0.65101
SADE,ARS,7,2,324489.14442,77.01275,1.1902,0.12169,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
SADE,ARS,8,2,324493.19083,76.92061,1.1899,0.31635,0.25684,-0.31574,0.63898,0.14914,0.22571,0.1796,0.64933
SADE,ARS,9,2,324497.24234,77.97173,1.18338,0.1207,0.25396,-0.31449,0.64521,0.1694,0.26774,0.20751,0.657
SADE,ARS,10,2,324501.29036,77.01275,1.1902,0.12169,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
SSO,MSEI,1,2,324505.36392,62.61786,1.1815,0.29371,0.35554,-0.26571,0.49935,2e-05,2e-05,2e-05,0.49935
SSO,MSEI,2,2,324509.02627,62.65682,1.18148,0.28242,0.35502,-0.26633,0.49936,0.0,0.0,0,0.49936
SSO,MSEI,3,2,324512.69885,62.65846,1.18182,0.29825,0.35507,-0.26558,0.49958,5e-05,5e-05,5e-05,0.49958
SSO,MSEI,4,2,324516.3667,62.62452,1.18146,0.28881,0.35546,-0.26564,0.49938,3e-05,3e-05,3e-05,0.49938
SSO,MSEI,5,2,324520.03805,62.62205,1.18162,0.29003,0.35553,-0.26579,0.49933,0.0,0.0,0,0.49933
SSO,MSEI,6,2,324523.69908,62.65941,1.18203,0.28365,0.35501,-0.26623,0.49941,6e-05,6e-05,6e-05,0.49941
SSO,MSEI,7,2,324527.30965,62.65494,1.1821,0.3009,0.35519,-0.26643,0.49934,1e-05,1e-05,1e-05,0.49934
SSO,MSEI,8,2,324530.92156,62.65125,1.18199,0.29948,0.35525,-0.2663,0.49936,1e-05,1e-05,1e-05,0.49936
SSO,MSEI,9,2,324534.53777,62.66147,1.18201,0.30044,0.35508,-0.26586,0.49952,3e-05,3e-05,3e-05,0.49952
SSO,MSEI,10,2,324538.13311,62.65939,1.1823,0.27428,0.35508,-0.26655,0.49951,0.00018,0.00018,0.00018,0.49951
SSO,CHI,1,2,324541.76013,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,2,2,324545.2724,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,3,2,324548.79369,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,4,2,324552.31408,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,5,2,324555.59735,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,6,2,324559.07789,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,7,2,324562.60293,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,8,2,324566.10411,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,9,2,324569.59288,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,CHI,10,2,324573.10198,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
SSO,NMIS,1,2,324576.59856,78.4274,1.16508,0.11746,0.25126,-0.299,0.64669,0.17348,0.28065,0.21442,0.65921
SSO,NMIS,2,2,324581.20819,77.90645,1.16494,0.13003,0.25455,-0.302,0.64593,0.17121,0.27338,0.21056,0.65805
SSO,NMIS,3,2,324585.77942,78.25094,1.1743,0.44379,0.25256,-0.30825,0.64663,0.17692,0.28323,0.21779,0.65883
SSO,NMIS,4,2,324590.36569,78.29466,1.17133,0.4433,0.25206,-0.30421,0.64664,0.17606,0.28258,0.21695,0.65893
SSO,NMIS,5,2,324594.96933,78.27071,1.16102,0.44294,0.25264,-0.29484,0.64669,0.17348,0.28065,0.21442,0.65921
SSO,NMIS,6,2,324599.56557,78.29466,1.17133,0.11814,0.25206,-0.30421,0.64664,0.17606,0.28258,0.21695,0.65893
