optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,4,742.47076,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
SSA,SSEI,2,4,743.46944,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
SSA,SSEI,3,4,744.46807,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
GWO,SSEI,1,4,745.46939,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
GWO,SSEI,2,4,745.99859,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
GWO,SSEI,3,4,746.52852,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
MVO,SSEI,1,4,747.05992,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
MVO,SSEI,2,4,747.64584,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
MVO,SSEI,3,4,748.26437,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
PSO,SSEI,1,4,748.8551,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
PSO,SSEI,2,4,749.37191,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
PSO,SSEI,3,4,749.89125,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
