optimizer,obj,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,4,0.9986550001042922,0.0,0.0,0.0,4.2491873609703695e-18,0.0,3.3993498887762956e-17,0.0,0.0,0.0,6.798699777552591e-17
GWO,SSEI,4,0.5295650419290568,0.0,0.0,0.0,4.2491873609703695e-18,0.0,3.3993498887762956e-17,0.0,0.0,0.0,6.798699777552591e-17
MVO,SSEI,4,0.6022985707271524,0.0,0.0,0.0,4.2491873609703695e-18,0.0,3.3993498887762956e-17,0.0,0.0,0.0,6.798699777552591e-17
PSO,SSEI,4,0.5180755147981267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
