optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,4,31.25255,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
SSA,SSEI,2,4,32.32172,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
SSA,SSEI,3,4,33.40005,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
GWO,SSEI,1,4,57.13201,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
GWO,SSEI,2,4,57.71897,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
GWO,SSEI,3,4,58.28506,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
MVO,SSEI,1,4,85.38042,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
MVO,SSEI,2,4,86.0276,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
MVO,SSEI,3,4,86.67122,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
PSO,SSEI,1,4,111.47638,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
PSO,SSEI,2,4,112.03478,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
PSO,SSEI,3,4,112.58738,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
