optimizer,obj,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,3,324359.517987,2.199903,0.280737,0.5841230000000001,0.803983,0.9350499999999998,0.999333,0.997978,0.9979800000000001,0.997978,0.999333
SADE,CHI,3,324426.451672,2.19278,0.28038,0.6177300000000001,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
SADE,NMIS,3,324479.786508,2.19278,0.28038,0.6158659999999999,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
SADE,ARS,3,324529.139239,2.19278,0.28038,0.61773,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
SSO,MSEI,3,324569.619613,2.1946969999999997,0.28045800000000004,0.587512,0.8042910000000001,0.9352039999999999,0.9998670000000001,0.9995619999999998,0.9995619999999998,0.9995619999999998,0.9998670000000001
SSO,CHI,3,324608.42096699995,2.19278,0.28038,0.6177299999999999,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
SSO,NMIS,3,324651.64790599997,23.319585,0.315028,0.9919140000000001,0.765056,0.7501990000000001,0.794665,0.6152559999999999,0.999244,0.754978,0.817306
SSO,ARS,3,324695.22219,2.19278,0.28038,0.61773,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
AO,MSEI,3,324733.380216,2.199167,0.280684,0.56983,0.804038,0.935071,0.999468,0.998248,0.998248,0.998248,0.999468
AO,CHI,3,324767.04654,2.19278,0.28038,0.6158659999999999,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
AO,NMIS,3,324803.334776,5.154142,0.31143200000000004,0.5676249999999999,0.772363,0.8739239999999999,0.978523,0.971713,0.976159,0.973869,0.978656
AO,ARS,3,324848.50136900006,2.19278,0.28038,0.6158659999999999,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
M-EO,MSEI,3,324901.04572,2.198009,0.28068100000000007,0.593072,0.8040990000000001,0.9351039999999999,0.9994669999999999,0.9983319999999999,0.9983329999999999,0.9983319999999999,0.9994669999999999
M-EO,CHI,3,324965.84724399995,2.19278,0.28038,0.6177299999999999,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
M-EO,NMIS,3,325036.867535,2.19278,0.28038,0.615866,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
M-EO,ARS,3,325109.210184,2.19278,0.28038,0.6158659999999999,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
GSKA,MSEI,3,325169.32334299997,2.1950259999999995,0.280494,0.5945819999999999,0.804248,0.9351939999999999,0.9997339999999999,0.9991239999999999,0.9991239999999999,0.9991239999999999,0.9997339999999999
GSKA,CHI,3,325226.70129399997,2.19278,0.28038,0.619594,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
GSKA,NMIS,3,325288.518603,2.19278,0.28038,0.619594,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
GSKA,ARS,3,325350.343941,2.19278,0.28038,0.621458,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
IQSA,MSEI,3,325417.580773,2.1967069999999995,0.28058400000000006,0.562695,0.804157,0.935144,0.999601,0.998686,0.998686,0.998686,0.999601
IQSA,CHI,3,325498.11363299994,2.19278,0.28038,0.6121380000000001,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
IQSA,NMIS,3,325586.27906599996,2.19278,0.28038,0.6158659999999999,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
IQSA,ARS,3,325674.433317,2.19278,0.28038,0.61773,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
SOA,MSEI,3,325729.401247,2.3414759999999997,0.28758,0.516424,0.7981020000000001,0.9308949999999999,0.993229,0.986346,0.9863589999999999,0.986351,0.993229
SOA,CHI,3,325755.85400299996,2.1972609999999997,0.28060100000000004,0.587855,0.804216,0.935128,0.999733,0.999208,0.9992090000000001,0.999208,0.999733
SOA,NMIS,3,325784.291867,276.10544699999997,inf,0.11927499999999999,-0.8189819999999999,0.081655,0.5966929999999999,0.057938,1.0,0.073368,0.679772
SOA,ARS,3,325821.295049,2.19278,0.28038,0.619594,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
AAEO,MSEI,3,325874.05054799997,2.204331,0.280853,0.5366329999999999,0.803759,0.9349210000000001,0.9990669999999999,0.9971019999999999,0.9971039999999999,0.9971019999999999,0.9990669999999999
AAEO,CHI,3,325949.16902900004,2.19278,0.28038,0.6121380000000001,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
AAEO,NMIS,3,326032.7369,6.891176,0.27510199999999996,0.708124,0.805805,0.8981009999999999,0.9321420000000001,0.8731070000000001,0.998636,0.9191699999999999,0.9397629999999999
AAEO,ARS,3,326116.118464,2.19278,0.28038,0.6158659999999999,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
RUN,MSEI,3,326191.172451,2.1940209999999998,0.280431,0.618614,0.8043150000000001,0.9352239999999998,0.9998670000000001,0.9995619999999998,0.9995619999999998,0.9995619999999998,0.9998670000000001
RUN,CHI,3,326271.832879,2.19278,0.28038,0.621458,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
RUN,NMIS,3,326357.460173,16.736105,0.34047900000000003,0.7546489999999999,0.7613150000000001,0.7731199999999998,0.8721630000000001,0.762448,0.9760030000000001,0.837102,0.8830349999999999
RUN,ARS,3,326443.202593,2.19278,0.28038,0.621458,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
INFO,MSEI,3,326507.278888,2.195303,0.280499,0.5988939999999999,0.8043060000000001,0.9351849999999999,0.9998670000000001,0.9995619999999998,0.9995619999999998,0.9995619999999998,0.9998670000000001
INFO,CHI,3,326558.496886,2.19278,0.28038,0.61773,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
INFO,NMIS,3,326609.174096,64.48753099999999,inf,0.31661599999999995,0.36888599999999994,0.715142,0.8594270000000002,0.7106859999999999,0.955493,0.727784,0.8799140000000001
INFO,ARS,3,326657.37174800003,2.19278,0.28038,0.6140019999999999,0.8044,0.9352599999999999,1.0,1.0,1.0,1.0,1.0
