Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
aggregation,SSA,SSE,7,10.21,12.72,0.9,0.1,0.88,0.82,0.85,0.85,0.78,0.3,11.93,0.27,0.78,0.97,0.73,0.05,0.0,17.98,17.98,17.98,17.98,17.98,17.98,17.98,16.05,16.05,14.58,14.58,14.58,14.58,14.58,14.58,14.54,13.93,13.76,13.67,13.3,13.14,13.06,12.96,12.89,12.82,12.79,12.77,12.76,12.74,12.73,12.73,12.73,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72
aggregation,SSA,SSE,7,10.58,12.51,0.85,0.17,0.8,0.7,0.75,0.75,0.58,0.31,12.27,0.29,0.58,0.98,0.93,0.05,0.0,18.46,18.46,17.17,17.17,17.17,15.95,15.95,15.95,14.43,14.43,14.43,14.43,14.43,14.43,13.61,13.49,13.23,13.02,12.98,12.89,12.75,12.73,12.67,12.62,12.59,12.57,12.55,12.53,12.52,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51
aggregation,SSA,SSE,7,10.13,11.18,0.89,0.11,0.87,0.78,0.82,0.82,0.71,0.14,10.98,0.27,0.71,0.97,0.71,0.05,0.0,22.61,17.58,17.58,17.58,17.58,17.58,16.52,14.75,14.75,14.75,14.11,14.11,12.52,12.52,12.52,12.46,11.88,11.72,11.59,11.48,11.38,11.36,11.32,11.28,11.24,11.21,11.2,11.2,11.19,11.19,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18
