Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,PSO,SSE,3,1.98,4.85,0.84,0.28,0.72,0.77,0.74,0.74,0.64,0.13,3.4,0.22,0.64,0.94,0.64,0.07,25.99,25.99,16.03,13.97,13.97,13.97,12.64,12.64,12.64,12.64,11.65,11.65,11.65,10.8,10.8,8.76,8.76,8.31,8.31,8.31,8.07,8.07,8.07,7.32,6.85,6.85,6.85,6.74,6.74,6.74,6.21,6.21,6.01,5.83,5.3,5.3,5.3,5.3,5.23,5.17,5.17,4.93,4.92,4.92,4.92,4.91,4.88,4.87,4.87,4.85
iris,PSO,SSE,3,2.0,5.49,0.75,0.36,0.64,0.79,0.71,0.7,0.57,0.24,4.43,0.26,0.57,0.93,0.68,0.09,18.47,11.85,11.85,11.85,11.85,11.85,7.53,7.53,7.53,7.53,7.44,7.44,7.44,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.2,7.2,7.2,6.31,6.31,6.31,6.12,6.12,6.08,6.08,6.08,6.07,5.88,5.88,5.84,5.84,5.82,5.68,5.61,5.54,5.54,5.53,5.53,5.53,5.51,5.5,5.5,5.5,5.5,5.49
iris,PSO,SSE,3,2.01,4.61,0.85,0.27,0.73,0.78,0.75,0.75,0.66,0.45,3.23,0.22,0.66,0.88,0.63,0.07,23.56,23.56,19.88,15.34,12.87,12.87,12.87,10.28,10.28,10.28,10.28,9.69,9.69,9.56,9.56,9.56,7.41,7.41,7.41,7.41,7.41,7.23,7.23,6.36,6.11,6.11,6.11,6.11,6.11,5.7,5.46,5.46,5.46,5.25,5.13,5.07,5.05,5.01,5.01,5.01,5.01,4.88,4.77,4.72,4.64,4.63,4.63,4.62,4.61,4.61
