Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,SSA,SSE,3,1.87,2.92,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.31,2.83,0.21,0.89,0.82,0.63,0.06,0.0,14.42,13.78,12.55,10.81,10.81,10.72,9.75,8.59,7.54,7.19,6.95,5.9,5.17,4.01,3.57,3.32,3.22,3.16,3.11,3.09,3.06,3.02,2.99,2.97,2.96,2.94,2.93,2.93,2.93,2.93,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92
iris,SSA,SSE,3,1.84,5.56,0.74,0.38,0.62,0.76,0.68,0.68,0.56,0.13,4.66,0.29,0.56,0.92,0.67,0.09,0.0,23.32,19.92,17.19,15.55,10.57,10.51,10.46,9.95,9.74,9.74,7.87,6.98,6.98,6.92,6.39,6.24,6.19,6.12,6.0,5.9,5.83,5.78,5.69,5.66,5.63,5.6,5.59,5.58,5.58,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56
iris,SSA,SSE,3,1.84,2.87,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.31,2.83,0.21,0.89,0.82,0.63,0.06,0.0,22.2,18.05,17.64,14.51,14.38,7.49,5.43,5.43,4.87,4.87,4.57,4.24,3.94,3.84,3.62,3.48,3.23,3.19,3.03,3.0,2.96,2.93,2.91,2.9,2.89,2.89,2.88,2.88,2.88,2.88,2.88,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87
