Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
ecoli,SSA,SSE,7,4.27,27.82,0.73,0.34,0.53,0.53,0.53,0.51,0.39,0.07,23.17,0.43,0.39,0.94,1.17,0.11,0.0,45.94,40.03,40.03,39.84,39.44,39.44,39.44,39.44,37.49,34.33,34.24,33.43,32.62,31.98,31.98,31.07,29.89,29.74,29.6,29.03,28.64,28.55,28.5,28.2,28.17,28.0,27.97,27.92,27.88,27.86,27.85,27.84,27.84,27.83,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82
ecoli,SSA,SSE,7,4.19,32.46,0.64,0.38,0.47,0.51,0.49,0.47,0.37,0.01,25.07,0.39,0.37,0.95,1.37,0.11,0.0,62.72,51.38,49.62,48.87,48.87,46.5,46.5,44.64,44.64,42.71,42.06,40.67,38.81,37.82,37.37,37.37,36.8,35.76,35.14,34.06,33.72,33.33,33.25,32.95,32.83,32.72,32.63,32.57,32.54,32.5,32.49,32.48,32.47,32.47,32.47,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46
ecoli,SSA,SSE,7,4.15,30.4,0.78,0.3,0.58,0.7,0.63,0.62,0.69,0.12,23.97,0.34,0.69,0.91,1.05,0.11,0.0,46.36,46.36,44.35,44.35,44.35,44.35,43.04,43.04,41.97,41.97,38.71,37.16,35.91,35.26,34.61,34.38,33.48,32.74,32.18,31.54,31.19,31.02,30.81,30.68,30.58,30.52,30.52,30.49,30.46,30.44,30.42,30.41,30.41,30.41,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4
