optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,7,25.52032,0.81424818,0.55884701,0.82491116,0.5536881,0.54670876,0.70146463,0.61449292,0.6859035,0.66097942,0.67321085
SSA,SSEI,2,7,26.77279,0.81424818,0.55884701,0.82491116,0.5536881,0.54670876,0.70146463,0.61449292,0.6859035,0.66097942,0.67321085
SSA,SSEI,3,7,28.0239,0.81424818,0.55884701,0.82491116,0.5536881,0.54670876,0.70146463,0.61449292,0.6859035,0.66097942,0.67321085
GWO,SSEI,1,7,52.93525,0.87452623,0.56818316,0.79353234,0.43870704,0.58718111,0.7188774,0.64638946,0.65873555,0.50481896,0.57159711
GWO,SSEI,2,7,53.61209,0.87452623,0.56818316,0.79353234,0.43870704,0.58718111,0.7188774,0.64638946,0.65873555,0.50481896,0.57159711
GWO,SSEI,3,7,54.29847,0.87452623,0.56818316,0.79353234,0.43870704,0.58718111,0.7188774,0.64638946,0.65873555,0.50481896,0.57159711
MVO,SSEI,1,7,79.20687,0.85171769,0.55192892,0.78901919,0.42489813,0.57186682,0.69371258,0.62692425,0.64949339,0.49257619,0.5602548
MVO,SSEI,2,7,80.4735,0.85171769,0.55192892,0.78901919,0.42489813,0.57186682,0.69371258,0.62692425,0.64949339,0.49257619,0.5602548
MVO,SSEI,3,7,81.77363,0.85171769,0.55192892,0.78901919,0.42489813,0.57186682,0.69371258,0.62692425,0.64949339,0.49257619,0.5602548
PSO,SSEI,1,7,107.05583,0.8131378,0.55732773,0.83798863,0.59435181,0.54596322,0.78059993,0.64253082,0.69896657,0.71353217,0.70617427
PSO,SSEI,2,7,107.71465,0.8131378,0.55732773,0.83798863,0.59435181,0.54596322,0.78059993,0.64253082,0.69896657,0.71353217,0.70617427
PSO,SSEI,3,7,108.37025,0.8131378,0.55732773,0.83798863,0.59435181,0.54596322,0.78059993,0.64253082,0.69896657,0.71353217,0.70617427
