optimizer,obj,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,4,769.95493,0.26648908,0.25186799,0.46375952,0.029052659999999998,0.35006147,0.19669458000000004,0.25186806,0.64122948,0.27731776,0.38718601999999996
GWO,SSEI,4,772.4795433333334,0.26648908,0.25186799,0.46375952,0.029052659999999998,0.35006147,0.19669458000000004,0.25186806,0.64122948,0.27731776,0.38718601999999996
MVO,SSEI,4,774.1271399999999,0.26648908,0.25186799,0.46375952,0.029052659999999998,0.35006147,0.19669458000000004,0.25186806,0.64122948,0.27731776,0.38718601999999996
PSO,SSEI,4,775.82382,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
