optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,4,768.96202,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
SSA,SSEI,2,4,769.95304,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
SSA,SSEI,3,4,770.94973,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
GWO,SSEI,1,4,771.94935,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
GWO,SSEI,2,4,772.47978,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
GWO,SSEI,3,4,773.0095,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
MVO,SSEI,1,4,773.53914,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
MVO,SSEI,2,4,774.127,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
MVO,SSEI,3,4,774.71528,0.26648908,0.25186799,0.46375952,0.02905266,0.35006147,0.19669458,0.25186806,0.64122948,0.27731776,0.38718602
PSO,SSEI,1,4,775.30844,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
PSO,SSEI,2,4,775.82287,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
PSO,SSEI,3,4,776.34015,0.25251124,0.2380542,0.46254108,0.02787262,0.3317001,0.1856435,0.23805443,0.64031996,0.27416836,0.38394252
