optimizer,obj,trial,n_clusters,fitness
SADE,MSEI,1,4,0.0419786=0.04120414=0.03954539=0.03954539=0.03954539=0.03894425=0.03894425=0.03894425=0.03894425=0.03894425=0.03881102=0.03881102=0.03881102=0.03881102=0.03881102=0.03873942=0.03873942=0.03873942=0.03873942=0.03873942=0.03863241=0.03863241=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03839096=0.03833254=0.03832102=0.03832102=0.03832102=0.03832102=0.03831893=0.03831893=0.03831893=0.03831893=0.03831893=0.03831893=0.03830793=0.03830793=0.03830793=0.03830793=0.03829809=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.0382873=0.03828454
SADE,MSEI,2,4,0.04249439=0.0390718=0.0390718=0.0390718=0.0390718=0.0390718=0.0390718=0.0390718=0.0390718=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03850569=0.03847525=0.03837036=0.03837036=0.03837036=0.03837036=0.03837036=0.03837036=0.03837036=0.03837036=0.03837036=0.03837036=0.03837036=0.03831144=0.03831144=0.03831144=0.03831144=0.03831144=0.03831144=0.03831144=0.03831144=0.03831144=0.03831144=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03830793=0.03829375=0.03829375=0.03829375=0.03829375=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454
SADE,MSEI,3,4,0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03871054=0.03856554=0.03856554=0.03856554=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.0384386=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03830439=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03829929=0.03828454
SADE,MSEI,4,4,0.04194164=0.04194164=0.0412813=0.03929774=0.03929774=0.03867426=0.03867426=0.03867426=0.03867426=0.03867426=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.03838857=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.0383863=0.03832582=0.03832582=0.03832582=0.03832582=0.03832582=0.03832582=0.03832582=0.03832582=0.03832582=0.03832582=0.03832582=0.03832582=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272=0.03831272
SADE,MSEI,5,4,0.04063026=0.04063026=0.04063026=0.04014767=0.04014767=0.03958829=0.03958829=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03936557=0.03915413=0.03915413=0.03913758=0.03913758=0.03901082=0.03901082=0.03901082=0.03901082=0.03880941=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835636=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516=0.03835516
SADE,MSEI,6,4,0.04089338=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03879631=0.03846004=0.03846004=0.03846004=0.03844781=0.03844781=0.03844781=0.03844781=0.03844781=0.03844781=0.03844781=0.03844781=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837974=0.03837815=0.03837815=0.03837815=0.03837815=0.03837815=0.03837815=0.03837815=0.03837815=0.03835939=0.03834755=0.03834755=0.03834755=0.03834755=0.03834755=0.03834755=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533=0.03829533
SADE,MSEI,7,4,0.04080387=0.03918958=0.03918958=0.03918958=0.03918958=0.03918958=0.03918958=0.03918958=0.03918958=0.03883038=0.03883038=0.03883038=0.0388284=0.0388284=0.0388284=0.03869358=0.03869358=0.03869358=0.03869358=0.03869358=0.03869358=0.03869358=0.03869358=0.03869358=0.03869358=0.03853041=0.03853041=0.03853041=0.03853041=0.03853041=0.03853041=0.03853041=0.03853041=0.03853041=0.03853041=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.03847849=0.0384484=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03836462=0.03835383=0.03835383=0.03835383=0.03835383=0.03835383
SADE,MSEI,8,4,0.0409291=0.0409291=0.0409291=0.03864549=0.03864549=0.03864549=0.03864549=0.03864549=0.03864549=0.03864549=0.03864549=0.03864549=0.03864549=0.03864549=0.03864549=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03845193=0.03838601=0.03838601=0.03838601=0.03838601=0.03838601=0.03838601=0.03838601=0.03838601=0.03838601=0.03838601=0.03838601=0.03837509=0.03837509=0.03837509=0.03837509=0.03837509=0.03837509=0.03837509=0.03837509=0.03837509=0.03837509=0.03837509=0.03837509=0.03835542=0.03835542=0.03835542=0.03835542=0.03833136=0.03833136=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312=0.038312
SADE,MSEI,9,4,0.03957642=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03937849=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03876577=0.03875312=0.03875312=0.03875312=0.03875312=0.03875312=0.03875312=0.03855071=0.03855071=0.03855071=0.03855071=0.03855071=0.03853834=0.03853834=0.03839676=0.03839676=0.03839676=0.03839676=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03839099=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834736=0.03834423=0.03834423=0.03834423=0.03834423=0.03834423=0.03834423=0.03834423=0.03832683=0.03832518=0.03832518=0.03832518=0.03832518
SADE,MSEI,10,4,0.04036773=0.03942232=0.03942232=0.03942232=0.03942232=0.03942232=0.0387982=0.0387982=0.03872764=0.03872764=0.03872764=0.03872764=0.03872764=0.03872764=0.03866615=0.03866615=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03846146=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03830132=0.03829375=0.03829375=0.03829375=0.03829375=0.03829375=0.03829375=0.03829375=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454=0.03828454
