optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,2,731.58575,0.00765439,0.01109262,0.50696008,0.01392554,0.0111418,0.011045,0.01109319,0.51274278,0.50664724,0.50967678
SSA,SSEI,2,2,732.89304,0.00765439,0.01109262,0.50696008,0.01392554,0.0111418,0.011045,0.01109319,0.51274278,0.50664724,0.50967678
SSA,SSEI,3,2,734.16711,0.00765439,0.01109262,0.50696008,0.01392554,0.0111418,0.011045,0.01109319,0.51274278,0.50664724,0.50967678
GWO,SSEI,1,2,735.44296,0.01199302,0.01738126,0.5111355,0.02227577,0.01745714,0.01730609,0.01738129,0.51691933,0.51079914,0.51384101
GWO,SSEI,2,2,736.14642,0.01199302,0.01738126,0.5111355,0.02227577,0.01745714,0.01730609,0.01738129,0.51691933,0.51079914,0.51384101
GWO,SSEI,3,2,736.85021,0.01199302,0.01738126,0.5111355,0.02227577,0.01745714,0.01730609,0.01738129,0.51691933,0.51079914,0.51384101
MVO,SSEI,1,2,737.55625,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
MVO,SSEI,2,2,738.325,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
MVO,SSEI,3,2,739.08985,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
PSO,SSEI,1,2,739.8908,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
PSO,SSEI,2,2,740.61179,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
PSO,SSEI,3,2,741.31055,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
