optimizer,obj,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,2,1.290715625702795,0.0,0.0,0.0,0.0,0.0,0.0,2.1245936804851847e-18,0.0,0.0,0.0
GWO,SSEI,2,0.7036250064487357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MVO,SSEI,2,0.7668008264862419,2.1245936804851847e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSO,SSEI,2,0.7099040052711463,2.1245936804851847e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
