optimizer,obj,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,3,1.0508465587800915,0.0,0.0,0.0,0.0,0.0,1.6996749443881478e-17,0.0,0.0,0.0,0.0
GWO,SSEI,3,0.566855172067819,0.0,1.6996749443881478e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MVO,SSEI,3,0.6721000892724242,0.0,0.0,0.0,0.0,0.0,1.6996749443881478e-17,1.6996749443881478e-17,0.0,0.0,0.0
PSO,SSEI,3,0.552565220494393,1.6996749443881478e-17,0.0,0.0,0.0,1.6996749443881478e-17,0.0,0.0,0.0,0.0,6.798699777552591e-17
